"deciles","rate","gap","severity","model","ciudad","year","quarter"
"Decil 1",42.3529411764706,0.259093544619051,0.203662185084221,"CoCA","BOGOTÁ D.C.",2022,1
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",2022,1
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",2022,1
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",2022,1
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",2022,1
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",2022,1
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",2022,1
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",2022,1
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",2022,1
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",2022,1
"Decil 1",100,0.610424398318534,0.447193757038746,"CoNA","BOGOTÁ D.C.",2022,1
"Decil 2",48.2625482625483,0.0726374240740233,0.0150872519589295,"CoNA","BOGOTÁ D.C.",2022,1
"Decil 3",7.95454545454545,0.00309677803236868,0.000156516645137081,"CoNA","BOGOTÁ D.C.",2022,1
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",2022,1
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",2022,1
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",2022,1
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",2022,1
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",2022,1
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",2022,1
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",2022,1
"Decil 1",32.7868852459016,0.209546882429969,0.16124833604118,"CoCA","BOGOTÁ D.C.",2022,2
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",2022,2
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",2022,2
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",2022,2
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",2022,2
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",2022,2
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",2022,2
