ciudad,articulo,codigo_articulo,subclase_ipc,method,ipc_last_date,issue
BOGOTA D.C.,ACEITE DE GIRASOL,1730102,011501,gasto_basico,2025-06-01,NA
BOGOTA D.C.,ACEITE DE SOYA O DE MAÍZ,1730101,011501,gasto_basico,2025-06-01,NA
BOGOTA D.C.,AGUACATE,1410503,011609,gasto_basico,2025-06-01,NA
BOGOTA D.C.,AJO,1310505,011716,gasto_basico,2025-06-01,NA
BOGOTA D.C.,ARRACACHA,1210303,011712,gasto_basico,2025-06-01,NA
BOGOTA D.C.,ARROZ INTEGRAL,1110103,011101,gasto_basico,2025-06-01,NA
BOGOTA D.C.,ARROZ PARA SECO,1110101,011101,gasto_basico,2025-06-01,NA
BOGOTA D.C.,ARROZ PARA SOPA,1110102,011101,gasto_basico,2025-06-01,NA
BOGOTA D.C.,ARVEJA FRESCA,1320201,011716,gasto_basico,2025-06-01,NA
BOGOTA D.C.,ARVEJA SECA,1320202,011716,gasto_basico,2025-06-01,NA
BOGOTA D.C.,ARVEJA TARRO,1320402,011703,gasto_basico,2025-06-01,NA
BOGOTA D.C.,AVENA HOJUELAS,1110501,011103,producto,2025-06-01,NA
BOGOTA D.C.,AVENA MOLIDA,1110502,011103,producto,2025-06-01,NA
BOGOTA D.C.,BANANOS,1410201,011606,gasto_basico,2025-06-01,NA
BOGOTA D.C.,CARNE DE CERDO CON HUESO,1510202,011202,gasto_basico,2025-06-01,NA
BOGOTA D.C.,CARNE DE CERDO SIN HUESO,1510201,011202,gasto_basico,2025-06-01,NA
BOGOTA D.C.,CARNE DE RES CON HUESO,1510102,011201,gasto_basico,2025-06-01,NA
BOGOTA D.C.,CARNE DE RES SIN HUESO,1510101,011201,gasto_basico,2025-06-01,NA
BOGOTA D.C.,CEBOLLA CABEZONA,1310102,011714,gasto_basico,2025-06-01,NA
BOGOTA D.C.,CEBOLLA LARGA,1310101,011714,gasto_basico,2025-06-01,NA
BOGOTA D.C.,CURUBAS,1410504,011609,gasto_basico,2025-06-01,NA
BOGOTA D.C.,FRÍJOL FRESCO,1320101,011716,gasto_basico,2025-06-01,NA
BOGOTA D.C.,FRÍJOL SECO,1320102,011716,gasto_basico,2025-06-01,NA
BOGOTA D.C.,FRÍJOL TARRO,1320401,011703,gasto_basico,2025-06-01,NA
BOGOTA D.C.,GARBANZO,1320302,011702,gasto_basico,2025-06-01,NA
BOGOTA D.C.,GUAYABAS,1410501,011609,gasto_basico,2025-06-01,NA
