Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
1 a 3 años,1,590.9121035386333,579.8340832969385,BOGOTÁ D.C.,10592,precio_100g
14 a 18 años,1,1248.132276939707,590.7086785797092,BOGOTÁ D.C.,10592,precio_100g
19 a 30 años,1,1065.1895361747256,524.2515884778812,BOGOTÁ D.C.,10592,precio_100g
31 a 50 años,1,1066.1137458637409,556.2855723933855,BOGOTÁ D.C.,10592,precio_100g
4 a 8 años,1,1003.0669429207621,761.8778585977977,BOGOTÁ D.C.,10592,precio_100g
51 a 70 años,1,1112.6805917721463,639.0359627505803,BOGOTÁ D.C.,10592,precio_100g
9 a 13 años,1,1219.1302273163685,673.1037269191257,BOGOTÁ D.C.,10592,precio_100g
>70 años,1,1080.7307901105914,660.1584266067063,BOGOTÁ D.C.,10592,precio_100g
gestantes 19 a 30 años,1,1559.188206000197,621.9763130644477,BOGOTÁ D.C.,10592,precio_100g
gestantes 31 a 50 años,1,1594.7802046381623,666.8573111794075,BOGOTÁ D.C.,10592,precio_100g
gestantes < 18 años,1,2536.3167949369526,1006.3162848436782,BOGOTÁ D.C.,10592,precio_100g
lactantes 19 a 30 años,1,1173.103540070669,462.4291110686123,BOGOTÁ D.C.,10592,precio_100g
lactantes 31 a 50 años,1,1152.9951497067455,476.1518130182502,BOGOTÁ D.C.,10592,precio_100g
lactantes < 18 años,1,1347.0301928180847,528.1648550532472,BOGOTÁ D.C.,10592,precio_100g
1 a 3 años,0,774.1622199182832,697.0579730408801,BOGOTÁ D.C.,10592,precio_100g
14 a 18 años,0,1282.2825205767524,466.83914654489286,BOGOTÁ D.C.,10592,precio_100g
19 a 30 años,0,1207.5627254160186,428.28495780019784,BOGOTÁ D.C.,10592,precio_100g
31 a 50 años,0,1181.2918406527212,442.28340046122884,BOGOTÁ D.C.,10592,precio_100g
4 a 8 años,0,1010.9945441903833,703.8376594302325,BOGOTÁ D.C.,10592,precio_100g
51 a 70 años,0,1193.186245316489,549.5613803092449,BOGOTÁ D.C.,10592,precio_100g
9 a 13 años,0,1219.9194291060237,607.9512161025878,BOGOTÁ D.C.,10592,precio_100g
>70 años,0,1113.2427668802832,549.5613803092444,BOGOTÁ D.C.,10592,precio_100g
1 a 3 años,1,609.7563808913518,598.3250808899281,BOGOTÁ D.C.,10623,precio_100g
