Demo_Group,cost_day,Cost_1000kcal,Sex,ciudad,fecha,escenario
> 70 años,2888.932822550948,488.6961304981313,1,BOGOTÁ D.C.,10592,precio_100g
1 a 3 años,2026.1301984414893,497.1479601868702,1,BOGOTÁ D.C.,10592,precio_100g
14 a 18 años,3587.984589436266,524.349972283788,1,BOGOTÁ D.C.,10592,precio_100g
19 a 30 años,3450.249032285566,524.3499722837879,1,BOGOTÁ D.C.,10592,precio_100g
31 a 50 años,3254.385923877063,524.349972283788,1,BOGOTÁ D.C.,10592,precio_100g
4 a 8 años,2398.280474478843,510.7510398886893,1,BOGOTÁ D.C.,10592,precio_100g
51 a 70 años,2956.7085667926385,524.3499722837878,1,BOGOTÁ D.C.,10592,precio_100g
9 a 13 años,3059.667800051785,515.5117828273302,1,BOGOTÁ D.C.,10592,precio_100g
gestantes < 18 años,3889.8377271386003,543.2384920055447,1,BOGOTÁ D.C.,10592,precio_100g
gestantes 19 a 30 años,3926.5879606162384,571.3478814982934,1,BOGOTÁ D.C.,10592,precio_100g
gestantes 31 a 50 años,3745.920487003271,571.3478814982935,1,BOGOTÁ D.C.,10592,precio_100g
lactantes < 18 años,3884.249612975266,548.0790949583006,1,BOGOTÁ D.C.,10592,precio_100g
lactantes 19 a 30 años,4051.5677872703695,552.754809429453,1,BOGOTÁ D.C.,10592,precio_100g
lactantes 31 a 50 años,3867.35436674762,552.7548094294533,1,BOGOTÁ D.C.,10592,precio_100g
> 70 años,3595.511714168506,488.6961304981311,0,BOGOTÁ D.C.,10592,precio_100g
1 a 3 años,2106.8035522450296,500.8262587406379,0,BOGOTÁ D.C.,10592,precio_100g
14 a 18 años,4566.171089576378,529.177149160618,0,BOGOTÁ D.C.,10592,precio_100g
19 a 30 años,4739.348727543766,522.535929762284,0,BOGOTÁ D.C.,10592,precio_100g
31 a 50 años,4489.503893982461,522.5359297622838,0,BOGOTÁ D.C.,10592,precio_100g
4 a 8 años,2616.5661433876817,510.7510398886892,0,BOGOTÁ D.C.,10592,precio_100g
51 a 70 años,3649.503806460728,522.5359297622841,0,BOGOTÁ D.C.,10592,precio_100g
9 a 13 años,3389.7571737262792,515.5117828273303,0,BOGOTÁ D.C.,10592,precio_100g
> 70 años,2992.446052862592,506.2065809709789,1,BOGOTÁ D.C.,10623,precio_100g
1 a 3 años,2089.250541851244,512.6356864922144,1,BOGOTÁ D.C.,10623,precio_100g
14 a 18 años,3695.657978998474,540.0854185838837,1,BOGOTÁ D.C.,10623,precio_100g
19 a 30 años,3553.789055627273,540.0854185838836,1,BOGOTÁ D.C.,10623,precio_100g
31 a 50 años,3352.0482060393274,540.0854185838837,1,BOGOTÁ D.C.,10623,precio_100g
4 a 8 años,2473.666315390626,526.805624433036,1,BOGOTÁ D.C.,10623,precio_100g
51 a 70 años,3045.437719719185,540.0854185838836,1,BOGOTÁ D.C.,10623,precio_100g
9 a 13 años,3156.5783603724212,531.8398743034184,1,BOGOTÁ D.C.,10623,precio_100g
gestantes < 18 años,3981.753616632593,556.0750812677902,1,BOGOTÁ D.C.,10623,precio_100g
gestantes 19 a 30 años,4010.2514239285083,583.5215404107436,1,BOGOTÁ D.C.,10623,precio_100g
gestantes 31 a 50 años,3825.7344843919586,583.5215404107437,1,BOGOTÁ D.C.,10623,precio_100g
lactantes < 18 años,3975.028330333116,560.8882401493729,1,BOGOTÁ D.C.,10623,precio_100g
lactantes 19 a 30 años,4147.570358697024,565.8524264162415,1,BOGOTÁ D.C.,10623,precio_100g
lactantes 31 a 50 años,3958.991970588874,565.8524264162418,1,BOGOTÁ D.C.,10623,precio_100g
> 70 años,3724.3423429916074,506.2065809709786,0,BOGOTÁ D.C.,10623,precio_100g
1 a 3 años,2175.321877588936,517.1143348171165,0,BOGOTÁ D.C.,10623,precio_100g
14 a 18 años,4701.643032190204,544.8770988509144,0,BOGOTÁ D.C.,10623,precio_100g
19 a 30 años,4885.871918524801,538.6908143746033,0,BOGOTÁ D.C.,10623,precio_100g
31 a 50 años,4628.302803766215,538.6908143746032,0,BOGOTÁ D.C.,10623,precio_100g
4 a 8 años,2698.8134206013465,526.8056244330357,0,BOGOTÁ D.C.,10623,precio_100g
51 a 70 años,3762.3330102102473,538.6908143746035,0,BOGOTÁ D.C.,10623,precio_100g
9 a 13 años,3497.122838407638,531.8398743034185,0,BOGOTÁ D.C.,10623,precio_100g
> 70 años,3004.5878167461733,508.2604996294574,1,BOGOTÁ D.C.,10651,precio_100g
1 a 3 años,2096.823944632237,514.4939588515821,1,BOGOTÁ D.C.,10651,precio_100g
14 a 18 años,3701.573781957514,540.9499571682304,1,BOGOTÁ D.C.,10651,precio_100g
19 a 30 años,3559.47776273452,540.9499571682303,1,BOGOTÁ D.C.,10651,precio_100g
31 a 50 años,3357.413977658027,540.9499571682304,1,BOGOTÁ D.C.,10651,precio_100g
4 a 8 años,2481.1649357795764,528.4025719969856,1,BOGOTÁ D.C.,10651,precio_100g
51 a 70 años,3050.3126863898747,540.9499571682302,1,BOGOTÁ D.C.,10651,precio_100g
9 a 13 años,3164.1799422998374,533.120635911474,1,BOGOTÁ D.C.,10651,precio_100g
gestantes < 18 años,3985.3513859653726,556.5775307075926,1,BOGOTÁ D.C.,10651,precio_100g
gestantes 19 a 30 años,4010.023317897669,583.4883492792105,1,BOGOTÁ D.C.,10651,precio_100g
gestantes 31 a 50 años,3825.5168738194466,583.4883492792106,1,BOGOTÁ D.C.,10651,precio_100g
lactantes < 18 años,3978.464856261103,561.3731441097465,1,BOGOTÁ D.C.,10651,precio_100g
lactantes 19 a 30 años,4151.122950063309,566.3371059444532,1,BOGOTÁ D.C.,10651,precio_100g
lactantes 31 a 50 años,3962.3830355926093,566.3371059444534,1,BOGOTÁ D.C.,10651,precio_100g
> 70 años,3739.4537550442897,508.26049962945706,0,BOGOTÁ D.C.,10651,precio_100g
1 a 3 años,2183.3686437405468,519.0272002963766,0,BOGOTÁ D.C.,10651,precio_100g
14 a 18 años,4706.946293531555,545.4916979675082,0,BOGOTÁ D.C.,10651,precio_100g
19 a 30 años,4894.2761327480785,539.617419304002,0,BOGOTÁ D.C.,10651,precio_100g
31 a 50 años,4636.2639719879135,539.6174193040019,0,BOGOTÁ D.C.,10651,precio_100g
4 a 8 años,2706.9945472212876,528.4025719969854,0,BOGOTÁ D.C.,10651,precio_100g
51 a 70 años,3768.8046191931253,539.6174193040023,0,BOGOTÁ D.C.,10651,precio_100g
9 a 13 años,3505.544509828859,533.1206359114741,0,BOGOTÁ D.C.,10651,precio_100g
