Demo_Group,cost_day,Cost_1000kcal,Sex,ciudad,fecha,escenario,person,per_capita
> 70 años,1575.176642761602,983.8742128458952,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,1575.176642761602
1 a 3 años,1079.457627440791,944.5573699828388,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,1079.457627440791
14 a 18 años,2057.222502508002,996.8960255267191,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,2057.222502508002
19 a 30 años,1978.2498423688962,996.8960255267192,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,1978.2498423688962
31 a 50 años,1865.9489157664098,996.8960255267186,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,2,1865.9489157664098
4 a 8 años,1313.180489154388,992.7510839098396,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,1313.180489154388
51 a 70 años,1695.2713272159506,996.896025526719,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,1695.2713272159506
9 a 13 años,1762.6988436167499,1001.982950852077,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,3,1762.6988436167499
gestantes < 18 años,2259.0146605692753,962.3297323850836,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,2259.0146605692753
gestantes 19 a 30 años,2522.36489606458,999.6103131915679,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,2522.36489606458
gestantes 31 a 50 años,2406.307571518997,999.610313191568,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,2406.307571518997
lactantes < 18 años,2339.7522028257326,973.6571259589075,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,2339.7522028257326
lactantes 19 a 30 años,2532.1151377292103,991.678409072889,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,2532.1151377292103
lactantes 31 a 50 años,2416.9869663225595,991.6784090728895,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,2416.9869663225595
> 70 años,1960.4353644793273,983.8742128458946,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,1960.4353644793273
1 a 3 años,1117.8293964255015,980.9314846660095,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,1117.8293964255015
14 a 18 años,2726.187307856847,999.8767487789462,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,2726.187307856847
19 a 30 años,2844.668465941078,1003.7243518077437,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,2844.668465941078
31 a 50 años,2694.705726276111,1003.7243518077435,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,1,2694.705726276111
4 a 8 años,1432.7029905980078,992.7510839098398,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,1432.7029905980078
51 a 70 años,2190.5179364066735,1003.7243518077437,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,2190.5179364066735
9 a 13 años,1952.8659451747558,1001.982950852077,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,1952.8659451747558
> 70 años,1614.3220958076136,1008.3249320583243,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,1614.3220958076136
1 a 3 años,1102.6437812846,964.8459407780155,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,1102.6437812846
14 a 18 años,2104.802473859258,1019.9524933015547,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,2104.802473859258
19 a 30 años,2024.0033137171772,1019.9524933015547,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,2024.0033137171772
31 a 50 años,1909.1050623897513,1019.9524933015542,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,2,1909.1050623897513
4 a 8 años,1343.159152735115,1015.4146484462725,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,1343.159152735115
51 a 70 años,1734.4799986567916,1019.9524933015547,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,1734.4799986567916
9 a 13 años,1805.5907641190838,1026.3642983682869,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,3,1805.5907641190838
gestantes < 18 años,2304.970060317301,981.9065188101981,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,2304.970060317301
gestantes 19 a 30 años,2580.082197297208,1022.4836134233209,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,2580.082197297208
gestantes 31 a 50 años,2461.369223851856,1022.483613423321,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,2461.369223851856
lactantes < 18 años,2390.269298564393,994.6791513636887,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,2390.269298564393
lactantes 19 a 30 años,2590.6386341033503,1014.5985705272129,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,2590.6386341033503
lactantes 31 a 50 años,2472.8495635055506,1014.5985705272129,1,BOGOTA,1999-02-01,price_serving_from_precio_100g,NA,2472.8495635055506
