diet,version,city_std,month,mean_cost_day,n_obs
CoCA,nominal,BOGOTA,1999-01-01,400.7011630060603,22
CoCA,nominal,BOGOTA,1999-02-01,402.9979148103938,22
CoCA,nominal,BOGOTA,1999-03-01,420.2118352214453,22
CoCA,nominal,BOGOTA,1999-04-01,416.6729625433394,22
CoCA,nominal,BOGOTA,1999-05-01,411.50401770856735,22
CoCA,nominal,BOGOTA,1999-06-01,424.48894955094414,22
CoCA,nominal,BOGOTA,1999-07-01,421.1375668160492,22
CoCA,nominal,BOGOTA,1999-08-01,410.4623581744781,22
CoCA,nominal,BOGOTA,1999-09-01,414.7629087468784,22
CoCA,nominal,BOGOTA,1999-10-01,412.1849220277283,22
CoCA,nominal,BOGOTA,1999-11-01,408.14217012724316,22
CoCA,nominal,BOGOTA,1999-12-01,411.37637164763134,22
CoCA,nominal,BOGOTA,2000-01-01,423.0944930983131,22
CoCA,nominal,BOGOTA,2000-02-01,424.2897414862825,22
CoCA,nominal,BOGOTA,2000-03-01,433.48846682506763,22
CoCA,nominal,BOGOTA,2000-04-01,436.6875139811036,22
CoCA,nominal,BOGOTA,2000-05-01,437.40231938959533,22
CoCA,nominal,BOGOTA,2000-06-01,446.05029302019847,22
CoCA,nominal,BOGOTA,2000-07-01,440.9573849662992,22
CoCA,nominal,BOGOTA,2000-08-01,453.0145915082997,22
CoCA,nominal,BOGOTA,2000-09-01,450.91225106506687,22
CoCA,nominal,BOGOTA,2000-10-01,460.95802918300126,22
CoCA,nominal,BOGOTA,2000-11-01,465.45817413175905,22
CoCA,nominal,BOGOTA,2000-12-01,469.1401109080157,22
CoCA,nominal,BOGOTA,2001-01-01,470.03786709728814,22
CoCA,nominal,BOGOTA,2001-02-01,477.4079860222226,22
CoCA,nominal,BOGOTA,2001-03-01,481.91294575062346,22
CoCA,nominal,BOGOTA,2001-04-01,488.18405197114595,22
CoCA,nominal,BOGOTA,2001-05-01,493.4597445058711,22
CoCA,nominal,BOGOTA,2001-06-01,499.1336025149152,22
CoCA,nominal,BOGOTA,2001-07-01,511.0232659841598,22
CoCA,nominal,BOGOTA,2001-08-01,511.51943756515703,22
CoCA,nominal,BOGOTA,2001-09-01,510.58198784910246,22
CoCA,nominal,BOGOTA,2001-10-01,516.0777868094722,22
CoCA,nominal,BOGOTA,2001-11-01,518.5737466784675,22
CoCA,nominal,BOGOTA,2001-12-01,520.3666192604217,22
CoCA,nominal,BOGOTA,2002-01-01,519.7572769449861,22
CoCA,nominal,BOGOTA,2002-02-01,523.2024046514867,22
CoCA,nominal,BOGOTA,2002-03-01,523.0500690726277,22
CoCA,nominal,BOGOTA,2002-04-01,520.8470622398995,22
CoCA,nominal,BOGOTA,2002-05-01,518.5034379497633,22
CoCA,nominal,BOGOTA,2002-06-01,522.5813442146004,22
CoCA,nominal,BOGOTA,2002-07-01,530.5731030439655,22
CoCA,nominal,BOGOTA,2002-08-01,528.4521230613921,22
CoCA,nominal,BOGOTA,2002-09-01,525.803827613538,22
CoCA,nominal,BOGOTA,2002-10-01,524.5968611041178,22
CoCA,nominal,BOGOTA,2002-11-01,522.6164985789525,22
CoCA,nominal,BOGOTA,2002-12-01,516.9918002826254,22
CoCA,nominal,BOGOTA,2003-01-01,521.1868877619694,22
CoCA,nominal,BOGOTA,2003-02-01,546.2167951806255,22
CoCA,nominal,BOGOTA,2003-03-01,555.6616010698748,22
CoCA,nominal,BOGOTA,2003-04-01,560.3019771643449,22
CoCA,nominal,BOGOTA,2003-05-01,567.8953198643867,22
CoCA,nominal,BOGOTA,2003-06-01,573.848125561333,22
CoCA,nominal,BOGOTA,2003-07-01,580.3282467235597,22
CoCA,nominal,BOGOTA,2003-08-01,590.6870660859626,22
CoCA,nominal,BOGOTA,2003-09-01,579.8243675011805,22
CoCA,nominal,BOGOTA,2003-10-01,574.5277766054726,22
CoCA,nominal,BOGOTA,2003-11-01,576.9885821101155,22
CoCA,nominal,BOGOTA,2003-12-01,583.7733744300602,22
CoCA,nominal,BOGOTA,2004-01-01,597.7999658065263,22
CoCA,nominal,BOGOTA,2004-02-01,629.6732561523804,22
CoCA,nominal,BOGOTA,2004-03-01,659.5779020945201,22
CoCA,nominal,BOGOTA,2004-04-01,662.7652311291056,22
CoCA,nominal,BOGOTA,2004-05-01,639.1297801630807,22
CoCA,nominal,BOGOTA,2004-06-01,641.6140219106251,22
CoCA,nominal,BOGOTA,2004-07-01,618.4121414382752,22
CoCA,nominal,BOGOTA,2004-08-01,601.4208653347868,22
CoCA,nominal,BOGOTA,2004-09-01,599.4170665667202,22
CoCA,nominal,BOGOTA,2004-10-01,605.3347178993146,22
CoCA,nominal,BOGOTA,2004-11-01,607.6666240680001,22
CoCA,nominal,BOGOTA,2004-12-01,604.3503956974572,22
CoCA,nominal,BOGOTA,2005-01-01,606.2956038582706,22
CoCA,nominal,BOGOTA,2005-02-01,596.1477106819801,22
CoCA,nominal,BOGOTA,2005-03-01,594.1556300353644,22
CoCA,nominal,BOGOTA,2005-04-01,600.6240330761404,22
CoCA,nominal,BOGOTA,2005-05-01,597.7413751992726,22
CoCA,nominal,BOGOTA,2005-06-01,589.2574552689794,22
CoCA,nominal,BOGOTA,2005-07-01,593.3353615338166,22
CoCA,nominal,BOGOTA,2005-08-01,599.170986016256,22
CoCA,nominal,BOGOTA,2005-09-01,605.2292548062584,22
CoCA,nominal,BOGOTA,2005-10-01,591.7299788950731,22
CoCA,nominal,BOGOTA,2005-11-01,595.8430395242625,22
CoCA,nominal,BOGOTA,2005-12-01,605.94406021475,22
CoCA,nominal,BOGOTA,2006-01-01,615.1427855535352,22
CoCA,nominal,BOGOTA,2006-02-01,618.9746112679079,22
CoCA,nominal,BOGOTA,2006-03-01,620.4042220848911,22
CoCA,nominal,BOGOTA,2006-04-01,626.2164103244294,22
CoCA,nominal,BOGOTA,2006-05-01,636.0713504644526,22
CoCA,nominal,BOGOTA,2006-06-01,660.280989381561,22
CoCA,nominal,BOGOTA,2006-07-01,680.236950212072,22
CoCA,nominal,BOGOTA,2006-08-01,686.3655277307786,22
CoCA,nominal,BOGOTA,2006-09-01,682.2759033444906,22
CoCA,nominal,BOGOTA,2006-10-01,683.7758228901776,22
CoCA,nominal,BOGOTA,2006-11-01,680.9517556205635,22
CoCA,nominal,BOGOTA,2006-12-01,690.2793802953062,22
CoCA,nominal,BOGOTA,2007-01-01,698.353165974826,22
CoCA,nominal,BOGOTA,2007-02-01,706.145716739529,22
CoCA,nominal,BOGOTA,2007-03-01,707.1651933057385,22
CoCA,nominal,BOGOTA,2007-04-01,707.7745356211738,22
CoCA,nominal,BOGOTA,2007-05-01,711.7938512787578,22
CoCA,nominal,BOGOTA,2007-06-01,722.0237713052029,22
CoCA,nominal,BOGOTA,2007-07-01,736.7651680901603,22
CoCA,nominal,BOGOTA,2007-08-01,739.6829803313801,22
CoCA,nominal,BOGOTA,2007-09-01,743.5733966530064,22
CoCA,nominal,BOGOTA,2007-10-01,744.616309462117,22
CoCA,nominal,BOGOTA,2007-11-01,748.0028465613642,22
CoCA,nominal,BOGOTA,2007-12-01,753.6041086147898,22
CoCA,nominal,BOGOTA,2008-01-01,752.3033971337644,22
CoCA,nominal,BOGOTA,2008-02-01,759.9553304410593,22
CoCA,nominal,BOGOTA,2008-03-01,783.1806471563104,22
CoCA,nominal,BOGOTA,2008-04-01,815.5343804816428,22
CoCA,nominal,BOGOTA,2008-05-01,861.5045709326669,22
CoCA,nominal,BOGOTA,2008-06-01,886.398140812329,22
CoCA,nominal,BOGOTA,2008-07-01,892.1809009231861,22
CoCA,nominal,BOGOTA,2008-08-01,885.1478143018732,22
CoCA,nominal,BOGOTA,2008-09-01,884.3976183955998,22
CoCA,nominal,BOGOTA,2008-10-01,913.2280638491884,22
CoCA,nominal,BOGOTA,2008-11-01,981.5584076455877,22
CoCA,nominal,BOGOTA,2008-12-01,1005.0228684918045,22
CoCA,nominal,BOGOTA,2009-01-01,1023.4026681955022,22
CoCA,nominal,BOGOTA,2009-02-01,1023.6944110479415,22
CoCA,nominal,BOGOTA,2009-03-01,1039.2922342658753,22
CoCA,nominal,BOGOTA,2009-04-01,1034.1450567978331,22
CoCA,nominal,BOGOTA,2009-05-01,1039.8236230328191,22
CoCA,nominal,BOGOTA,2009-06-01,1052.233113649091,22
CoCA,nominal,BOGOTA,2009-07-01,1035.2911894324175,22
CoCA,nominal,BOGOTA,2009-08-01,1037.3021312367337,22
CoCA,nominal,BOGOTA,2009-09-01,1032.4987935590664,22
CoCA,nominal,BOGOTA,2009-10-01,1037.0937434849907,22
CoCA,nominal,BOGOTA,2009-11-01,1046.7316770030864,22
CoCA,nominal,BOGOTA,2009-12-01,1043.3766342000304,22
CoCA,nominal,BOGOTA,2010-01-01,1009.9848878342546,22
CoCA,nominal,BOGOTA,2010-02-01,974.3852348670838,22
CoCA,nominal,BOGOTA,2010-03-01,982.8105641901237,22
CoCA,nominal,BOGOTA,2010-04-01,985.4119871521751,22
CoCA,nominal,BOGOTA,2010-05-01,985.411987152175,22
CoCA,nominal,BOGOTA,2010-06-01,979.7990069772986,22
CoCA,nominal,BOGOTA,2010-07-01,965.7372612364805,22
CoCA,nominal,BOGOTA,2010-08-01,1022.5935865151879,22
CoCA,nominal,BOGOTA,2010-09-01,1026.097304828942,22
CoCA,nominal,BOGOTA,2010-10-01,1021.3631837628662,22
CoCA,nominal,BOGOTA,2010-11-01,1016.4064183892282,22
CoCA,nominal,BOGOTA,2010-12-01,1032.8938152703374,22
CoCA,nominal,BOGOTA,2011-01-01,1032.3899360479581,22
CoCA,nominal,BOGOTA,2011-02-01,1046.5805811247335,22
CoCA,nominal,BOGOTA,2011-03-01,1041.963641273165,22
CoCA,nominal,BOGOTA,2011-04-01,1046.7446348250432,22
CoCA,nominal,BOGOTA,2011-05-01,1067.3333742138907,22
CoCA,nominal,BOGOTA,2011-06-01,1094.1561542145012,22
CoCA,nominal,BOGOTA,2011-07-01,1097.2028657916787,22
CoCA,nominal,BOGOTA,2011-08-01,1095.081885809105,22
CoCA,nominal,BOGOTA,2011-09-01,1097.4489463421428,22
CoCA,nominal,BOGOTA,2011-10-01,1103.3783157961877,22
CoCA,nominal,BOGOTA,2011-11-01,1100.190986761602,22
CoCA,nominal,BOGOTA,2011-12-01,1100.390194826264,22
CoCA,nominal,BOGOTA,2012-01-01,1115.9167057484171,22
CoCA,nominal,BOGOTA,2012-02-01,1131.8533509213441,22
CoCA,nominal,BOGOTA,2012-03-01,1125.0685586013994,22
CoCA,nominal,BOGOTA,2012-04-01,1127.1075117338182,22
CoCA,nominal,BOGOTA,2012-05-01,1158.5066881390526,22
CoCA,nominal,BOGOTA,2012-06-01,1161.9463954310856,22
CoCA,nominal,BOGOTA,2012-07-01,1156.1508757493325,22
CoCA,nominal,BOGOTA,2012-08-01,1156.3831389426855,22
CoCA,nominal,BOGOTA,2012-09-01,1169.3345770101134,22
CoCA,nominal,BOGOTA,2012-10-01,1169.8101635488833,22
CoCA,nominal,BOGOTA,2012-11-01,1154.1764018015713,22
CoCA,nominal,BOGOTA,2012-12-01,1158.552544588166,22
CoCA,nominal,BOGOTA,2013-01-01,1152.3009120358881,22
CoCA,nominal,BOGOTA,2013-02-01,1126.3045400059984,22
CoCA,nominal,BOGOTA,2013-03-01,1086.929674314234,22
CoCA,nominal,BOGOTA,2013-04-01,1120.5217798951414,22
CoCA,nominal,BOGOTA,2013-05-01,1112.9885626696464,22
CoCA,nominal,BOGOTA,2013-06-01,1136.3175714772306,22
CoCA,nominal,BOGOTA,2013-07-01,1123.314175768492,22
CoCA,nominal,BOGOTA,2013-08-01,1132.2852684810114,22
CoCA,nominal,BOGOTA,2013-09-01,1130.6077470794833,22
CoCA,nominal,BOGOTA,2013-10-01,1127.0964134626206,22
CoCA,nominal,BOGOTA,2013-11-01,1098.8911312642592,22
CoCA,nominal,BOGOTA,2013-12-01,1116.1745044203321,22
CoCA,nominal,BOGOTA,2014-01-01,1106.799446442891,22
CoCA,nominal,BOGOTA,2014-02-01,1097.0677384365115,22
CoCA,nominal,BOGOTA,2014-03-01,1094.6608599038846,22
CoCA,nominal,BOGOTA,2014-04-01,1088.8260028550917,22
CoCA,nominal,BOGOTA,2014-05-01,1106.6848331794326,22
CoCA,nominal,BOGOTA,2014-06-01,1104.4446648481996,22
CoCA,nominal,BOGOTA,2014-07-01,1105.8508394222815,22
CoCA,nominal,BOGOTA,2014-08-01,1104.7024635201149,22
CoCA,nominal,BOGOTA,2014-09-01,1107.526530789729,22
CoCA,nominal,BOGOTA,2014-10-01,1112.0965981554948,22
CoCA,nominal,BOGOTA,2014-11-01,1110.842759160272,22
CoCA,nominal,BOGOTA,2014-12-01,1110.374034302245,22
CoCA,nominal,BOGOTA,2015-01-01,1124.3144369768565,22
CoCA,nominal,BOGOTA,2015-02-01,1142.6629785177927,22
CoCA,nominal,BOGOTA,2015-03-01,1142.2149448515459,22
CoCA,nominal,BOGOTA,2015-04-01,1156.4999252335015,22
CoCA,nominal,BOGOTA,2015-05-01,1220.6625139950484,22
CoCA,nominal,BOGOTA,2015-06-01,1250.8474798349641,22
CoCA,nominal,BOGOTA,2015-07-01,1229.9691818279016,22
CoCA,nominal,BOGOTA,2015-08-01,1228.7622153184816,22
CoCA,nominal,BOGOTA,2015-09-01,1242.226336865315,22
CoCA,nominal,BOGOTA,2015-10-01,1230.5668060218866,22
CoCA,nominal,BOGOTA,2015-11-01,1231.000376515562,22
CoCA,nominal,BOGOTA,2015-12-01,1236.8360009980008,22
CoCA,nominal,BOGOTA,2016-01-01,1244.6988604914088,22
CoCA,nominal,BOGOTA,2016-02-01,1291.7119637515439,22
CoCA,nominal,BOGOTA,2016-03-01,1323.2805829396805,22
CoCA,nominal,BOGOTA,2016-04-01,1349.1659132242357,22
CoCA,nominal,BOGOTA,2016-05-01,1350.9822220490914,22
CoCA,nominal,BOGOTA,2016-06-01,1340.5062214721825,22
CoCA,nominal,BOGOTA,2016-07-01,1400.2452046277574,22
CoCA,nominal,BOGOTA,2016-08-01,1403.6434598484552,22
CoCA,nominal,BOGOTA,2016-09-01,1398.7452850820705,22
CoCA,nominal,BOGOTA,2016-10-01,1396.4954057635389,22
CoCA,nominal,BOGOTA,2016-11-01,1387.777123404232,22
CoCA,nominal,BOGOTA,2016-12-01,1376.726934876239,22
CoCA,nominal,BOGOTA,2017-01-01,1398.534358895958,22
CoCA,nominal,BOGOTA,2017-02-01,1363.6963838230815,22
CoCA,nominal,BOGOTA,2017-03-01,1350.1502354260933,22
CoCA,nominal,BOGOTA,2017-04-01,1356.7944102886297,22
CoCA,nominal,BOGOTA,2017-05-01,1350.8416045916836,22
CoCA,nominal,BOGOTA,2017-06-01,1313.906085779135,22
CoCA,nominal,BOGOTA,2017-07-01,1284.997480160303,22
CoCA,nominal,BOGOTA,2017-08-01,1278.2595603261611,22
CoCA,nominal,BOGOTA,2017-09-01,1260.1433445634073,22
CoCA,nominal,BOGOTA,2017-10-01,1217.1729932037576,22
CoCA,nominal,BOGOTA,2017-11-01,1179.6281320757737,22
CoCA,nominal,BOGOTA,2017-12-01,1155.8637817737906,22
CoCA,nominal,BOGOTA,2018-01-01,1158.0667886065191,22
CoCA,nominal,BOGOTA,2018-02-01,1142.7394857490274,22
CoCA,nominal,BOGOTA,2018-03-01,1114.8737929393064,22
CoCA,nominal,BOGOTA,2018-04-01,1127.1902725696025,22
CoCA,nominal,BOGOTA,2018-05-01,1144.7354463830243,22
CoCA,nominal,BOGOTA,2018-06-01,1165.1854502965161,22
CoCA,nominal,BOGOTA,2018-07-01,1167.5093143780718,22
CoCA,nominal,BOGOTA,2018-08-01,1165.882609520533,22
CoCA,nominal,BOGOTA,2018-09-01,1156.0061871757953,22
CoCA,nominal,BOGOTA,2018-10-01,1163.3263590309714,22
CoCA,nominal,BOGOTA,2018-11-01,1162.513006602952,22
CoCA,nominal,BOGOTA,2018-12-01,1161.9320405829378,22
CoCA,nominal,BOGOTA,2019-01-01,1166.4635755405468,22
CoCA,nominal,BOGOTA,2019-02-01,1177.6181231308149,22
CoCA,nominal,BOGOTA,2019-03-01,1182.0334648844212,22
