Food,quantity,Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
ARROZ PARA SOPA,288.69844200611334,1 a 3 años,1,533.3356685251727,523.3370523246233,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,372.9665301736204,4 a 8 años,1,689.0108319443221,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,513.0898208046233,9 a 13 años,1,947.8717678237422,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,598.5667072951417,14 a 18 años,1,1105.7800408406972,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,575.5889277461756,19 a 30 años,1,1063.3313551747306,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,542.9140003716714,31 a 50 años,1,1002.968354549588,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,493.2538775297451,51 a 70 años,1,911.2272470087995,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,463.76145309008507,>70 años,1,856.7435380020804,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,713.9935546742211,gestantes < 18 años,1,1319.0172664554127,523.3370523246233,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,710.1498342617564,gestantes 19 a 30 años,1,1311.9164550289265,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,677.4749068872521,gestantes 31 a 50 años,1,1251.553454403784,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,722.4921382436262,lactantes < 18 años,1,1334.7173780251512,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,718.6484178311616,lactantes 19 a 30 años,1,1327.6165665986655,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,685.9734904566574,lactantes 31 a 50 años,1,1267.2535659735229,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,314.6214794516997,1 a 3 años,0,581.2253641195539,523.3370523246233,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,406.91303867665727,4 a 8 años,0,751.7229258536452,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,568.4440319988216,9 a 13 años,0,1050.1320191357884,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,778.1113502986261,14 a 18 años,0,1437.467186573022,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,798.7340009915015,19 a 30 años,0,1475.5650547763182,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,756.6270417847026,31 a 50 años,0,1397.7775091211713,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,615.0597781562323,51 a 70 años,0,1136.249006702129,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,573.8507730197648,>70 años,0,1060.1203232530866,523.3370523246232,BOGOTA,10592,precio_100g
ARROZ PARA SOPA,288.6984420061133,1 a 3 años,1,535.2360171985314,525.2017745470366,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,372.96653017362036,4 a 8 años,1,691.4658727332422,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,513.0898208046232,9 a 13 años,1,951.2491658917904,525.2017745470366,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,598.5667072951417,14 a 18 años,1,1109.7200879023335,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,575.5889277461756,19 a 30 años,1,1067.120151704569,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,542.9140003716714,31 a 50 años,1,1006.5420693683621,525.2017745470366,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,493.2538775297451,51 a 70 años,1,914.4740755863259,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,463.76145309008496,>70 años,1,859.7962335968701,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,713.993554674221,gestantes < 18 años,1,1323.7171072130677,525.2017745470366,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,710.1498342617564,gestantes 19 a 30 años,1,1316.5909946144116,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,677.4749068872521,gestantes 31 a 50 años,1,1256.0129122782048,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,722.4921382436262,lactantes < 18 años,1,1339.473160449479,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,718.6484178311614,lactantes 19 a 30 años,1,1332.3470478508225,525.2017745470366,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,685.9734904566573,lactantes 31 a 50 años,1,1271.768965514616,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,314.62147945169966,1 a 3 años,0,583.296350394823,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,406.9130386766572,4 a 8 años,0,754.4014184975549,525.2017745470366,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,568.4440319988216,9 a 13 años,0,1053.8737846076813,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,778.111350298626,14 a 18 años,0,1442.5890807612634,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,798.7340009915014,19 a 30 años,0,1480.8226969326226,525.2017745470366,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,756.6270417847024,31 a 50 años,0,1402.7579835050703,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,615.0597781562323,51 a 70 años,0,1140.2976188987645,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,573.8507730197648,>70 años,0,1063.8976784325473,525.2017745470367,BOGOTA,10623,precio_100g
ARROZ PARA SOPA,288.69844200611334,1 a 3 años,1,550.6769218262085,540.3532035437507,BOGOTA,10651,precio_100g
ARROZ PARA SOPA,372.96653017362036,4 a 8 años,1,711.413817660512,540.3532035437507,BOGOTA,10651,precio_100g
