Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
>70 años,1,3295.637098275073,2013.1216963297743,BOGOTA,10592,precio_100g
1 a 3 años,1,NA,NA,BOGOTA,10592,precio_100g
14 a 18 años,1,3865.047756421629,1829.2269938252325,BOGOTA,10592,precio_100g
19 a 30 años,1,3296.4554468387933,1622.407980609466,BOGOTA,10592,precio_100g
31 a 50 años,1,3260.4786109853408,1701.2792653926997,BOGOTA,10592,precio_100g
4 a 8 años,1,5515.735285819199,4189.467729756999,BOGOTA,10592,precio_100g
51 a 70 años,1,3404.930702882368,1955.5236119912297,BOGOTA,10592,precio_100g
9 a 13 años,1,3728.7234039939153,2058.6952596548213,BOGOTA,10592,precio_100g
gestantes < 18 años,1,19545.14240062798,7754.78643937374,BOGOTA,10592,precio_100g
gestantes 19 a 30 años,1,7844.19394488106,3129.130152488324,BOGOTA,10592,precio_100g
gestantes 31 a 50 años,1,7429.229667378263,3106.5322391845216,BOGOTA,10592,precio_100g
lactantes < 18 años,1,4158.231354001241,1630.4249689968951,BOGOTA,10592,precio_100g
lactantes 19 a 30 años,1,3650.4435066004903,1438.9789887272125,BOGOTA,10592,precio_100g
lactantes 31 a 50 años,1,3578.3077137594446,1477.7318932146623,BOGOTA,10592,precio_100g
>70 años,0,3389.7975984669697,1673.4012585614432,BOGOTA,10592,precio_100g
1 a 3 años,0,NA,NA,BOGOTA,10592,precio_100g
14 a 18 años,0,4103.021419819954,1493.7823663244249,BOGOTA,10592,precio_100g
19 a 30 años,0,4162.874330084652,1476.4421087718586,BOGOTA,10592,precio_100g
31 a 50 años,0,3716.9834117450373,1391.6629288626598,BOGOTA,10592,precio_100g
4 a 8 años,0,9882.625017879733,6880.119879558337,BOGOTA,10592,precio_100g
51 a 70 años,0,3633.2235782068265,1673.4012585614435,BOGOTA,10592,precio_100g
9 a 13 años,0,3786.172032741882,1886.8523910346696,BOGOTA,10592,precio_100g
>70 años,1,3258.886669762923,1990.6729003062726,BOGOTA,10623,precio_100g
1 a 3 años,1,NA,NA,BOGOTA,10623,precio_100g
14 a 18 años,1,3840.9107266068445,1817.803562791443,BOGOTA,10623,precio_100g
19 a 30 años,1,3268.618419764816,1608.7075027446344,BOGOTA,10623,precio_100g
31 a 50 años,1,3227.8283004865616,1684.242718649642,BOGOTA,10623,precio_100g
4 a 8 años,1,5378.814699202884,4085.469921767871,BOGOTA,10623,precio_100g
51 a 70 años,1,3368.5193803152615,1934.6118204639595,BOGOTA,10623,precio_100g
9 a 13 años,1,3701.902861144943,2043.8871555285268,BOGOTA,10623,precio_100g
gestantes < 18 años,1,19663.35302531964,7801.688023951072,BOGOTA,10623,precio_100g
gestantes 19 a 30 años,1,8003.844765022398,3192.816517038399,BOGOTA,10623,precio_100g
gestantes 31 a 50 años,1,7613.481141862568,3183.576989613875,BOGOTA,10623,precio_100g
lactantes < 18 años,1,4136.639527978231,1621.958905116217,BOGOTA,10623,precio_100g
lactantes 19 a 30 años,1,3624.6823419009424,1428.8241199665147,BOGOTA,10623,precio_100g
lactantes 31 a 50 años,1,3551.4606013259845,1466.6448550230448,BOGOTA,10623,precio_100g
>70 años,0,3363.658281009027,1660.497371098857,BOGOTA,10623,precio_100g
1 a 3 años,0,NA,NA,BOGOTA,10623,precio_100g
14 a 18 años,0,4101.418493979871,1493.198790927365,BOGOTA,10623,precio_100g
19 a 30 años,0,4078.9027521374596,1446.660000596248,BOGOTA,10623,precio_100g
31 a 50 años,0,3683.3368308382655,1379.0654286470797,BOGOTA,10623,precio_100g
