Demo_Group,cost_day,Cost_1000kcal,Sex,ciudad,fecha,escenario,person,per_capita
> 70 años,4823.600779613234,2664.6128738669127,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,4823.600779613234
1 a 3 años,3264.6731359394116,2691.7062848611063,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,3264.6731359394116
14 a 18 años,6289.5828412927885,2704.9158742028394,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,6289.5828412927885
19 a 30 años,6048.138326887261,2704.9158742028385,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,6048.138326887261
31 a 50 años,5704.798712353986,2704.915874202839,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,2,5704.798712353986
4 a 8 años,3949.1898570875865,2727.27303990935,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,3949.1898570875865
51 a 70 años,5182.983093950295,2704.915874202839,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,5182.983093950295
9 a 13 años,5398.036774255722,2704.4860994342744,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,3,5398.036774255722
gestantes < 18 años,7000.621167038374,2595.256935419186,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,7000.621167038374
gestantes 19 a 30 años,7687.6057690367325,2826.4752681200725,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,7687.6057690367325
gestantes 31 a 50 años,7333.888922157197,2826.475268120073,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,7333.888922157197
lactantes < 18 años,7245.355323553365,2645.2956184025143,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,7245.355323553365
lactantes 19 a 30 años,7717.309627317458,2806.873255551592,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,7717.309627317458
lactantes 31 a 50 años,7366.425209648841,2806.873255551593,1,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,7366.425209648841
> 70 años,6003.363239252291,2664.6128738669117,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,6003.363239252291
1 a 3 años,3334.7664714109465,2742.645764094328,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,3334.7664714109465
14 a 18 años,8358.497931927672,2762.916477152693,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,8358.497931927672
19 a 30 años,8698.18098944865,2795.59439396994,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,8698.18098944865
31 a 50 años,8239.63790546648,2795.5943939699405,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,1,8239.63790546648
4 a 8 años,4308.63553442843,2727.273039909351,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,4308.63553442843
51 a 70 años,6697.976126084519,2795.5943939699405,0,BOGOTA,1999-01-01,price_serving_from_precio_100g,NA,6697.976126084519
