codigo_articulo,articulo,parte_comestible_percent,energia_kcal,proteina_g,lipidos_g,carbohidratos_totales_g,vitamina_c_mg,folatos_mcg,vitamina_a_er,tiamina_mg,riboflavina_mg,niacina_mg,vitamina_b12_mcg,magnesio_mg,fosforo_mg,sodio_mg,calcio_mg,hierro_mg,zinc_mg
1110101,ARROZ PARA SECO,100,353,6.7,0.4,80.1,0,9,0,0.07,0.03,1.8,0,35,140,2,9,0.8,1.2
1110102,ARROZ PARA SOPA,100,353,6.7,0.4,80.1,0,9,0,0.07,0.03,1.8,0,35,140,2,9,0.8,1.2
1110201,HARINA PRECOCIDA,100,380,9.1,3.7,73.9,0,35,0,0.3,0.12,2.7,0,44,248,1,4,2.7,1.3
1110202,FECULA DE MAÍZ,100,370,0.3,0.1,91.4,0,0,0,0,0.0074,0,0,3,14.11,9,2,0.5,0.1
1110203,HARINA DE TRIGO,100,360,12.5,1.7,72.3,0,216,0,0.98,0.47,6.1,0,26,107,2,15,4.3,1
1110205,FECULA DE MAÍZ,100,370,0.3,0.1,91.4,0,0,0,0,0.0074,0,0,3,14.11,9,2,0.5,0.1
1110301,PASTA PARA SECO,100,371,13,1.5,74.7,0,237,0,0.95,0.39,7.1,0,53,120,6,25,3.9,1.3
1110302,PASTA PARA SOPA,100,371,13,1.5,74.7,0,237,0,0.95,0.39,7.1,0,53,120,6,25,3.9,1.3
1110501,AVENA HOJUELAS,100,411,16.9,7.5,64.1,0,57,0,0.72,0.13,1.6,0,155,320,3,54,4.5,4
1110502,AVENA MOLIDA,100,414,14.7,8.6,66.2,0,32,0,0.63,0.13,1.5,0,132,440,19,54,4,3.2
1110503,CEBADA,100,385,12.5,1.8,72.1,0,23,0,0.37,0.08,5.3,0,79,214,7,36,2.7,2.1
1110504,CUCHUCO  DE MAÍZ,100,347,8.8,0.8,76,0,19,90,0.34,0.1,1.9,0,127,281,35,7,2.1,3.2
1110505,CUCHUCO  DE TRIGO,100,358,12.8,1.2,74,0,41,0,0.98,0.21,2.5,0,90,330,2,50,4.3,0
1110506,MAÍZ  PETO O TRILLADO,100,347,8.8,0.8,76,0,19,90,0.34,0.1,1.9,0,127,281,35,7,2.1,3.2
1120101,PAN CORRIENTE,100,268,8.9,3.4,48.8,0,118,0,0.46,0.29,3.6,0.03,34,105,541,54,3,0.9
1120102,PAN FRANCÉS,100,308,10.1,2.1,61.1,0,62,0,0.23,0.17,1.6,0,31,126,625,32,1.9,0.8
1120103,PAN INTEGRAL,100,279,9.4,3.1,50.4,0,36,0,0.2,0.1,3.4,0,62,220,448,50,2.7,1.5
1210101,PAPA,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
1210102,PAPA CRIOLLA,100,96,2.2,0.1,21.1,32,16,2,0.11,0.03,2.4,0,23,36,18,11,1,0.29
1210201,YUCA,80,159,0.9,0.3,37.4,30,27,1,0.04,0.03,0.8,0,21,30,14,16,0.3,0.3
1210301,ÑAME,85,121,2,0.2,25.9,13,23,7,0.12,0.03,0.6,0,21,55,9,16,0.5,0.2
1210302,ULLUCOS,100,50,1.4,0.5,9.7,20,16,5,0.04,0.03,0.4,0,0,57,11,15,0.7,0.3
1210303,ARRACACHA,80,111,0.9,0.1,26.3,20,15.6,57,0.06,0.06,3.8,0,12,52,1,21,0.9,0
1220101,PLÁTANO,65,136,1.1,0.3,31.1,17,22,57,0.05,0.02,0.5,0,37,35,4,4,0.8,0.1
1220103,COLICERO O GUINEO,60,128,1.3,0.1,30.3,15,22,16,0.04,0.04,0.6,0,37,38,30,4,0.7,0.2
1310101,CEBOLLA LARGA,40,37,1.2,0.1,6.8,13,26,200,0.04,0.05,0.3,0,17,31,15,57,0.5,0.2
