"trimestre","year","q","dominio","pm","pme"
"2018Q1",2018,1,"BOGOTA",13.2797550707998,2.506450423885
"2018Q1",2018,1,"CALI",12.0689655172414,1.71127687582273
"2018Q1",2018,1,"MEDELLIN",13.6062612883805,2.70681265206813
"2018Q2",2018,2,"BOGOTA",10.6671554252199,1.97461212976023
"2018Q2",2018,2,"CALI",14.0397350993377,2.72357723577236
"2018Q2",2018,2,"MEDELLIN",12.5984251968504,1.99875078076202
"2018Q3",2018,3,"BOGOTA",11.0244988864143,1.85115224782773
"2018Q3",2018,3,"CALI",17.2919361793877,4.26579163248564
"2018Q3",2018,3,"MEDELLIN",11.9114437168693,2.12373037857802
"2018Q4",2018,4,"BOGOTA",10.9717868338558,2.31191222570533
"2018Q4",2018,4,"CALI",13.3979015334948,3.67231638418079
"2018Q4",2018,4,"MEDELLIN",12.6765188834154,2.49298846992833
"2019Q1",2019,1,"BOGOTA",27.6043625423091,3.94198586835255
"2019Q1",2019,1,"CALI",21.7621145374449,4.44247001332741
"2019Q1",2019,1,"MEDELLIN",25.3782472166714,3.75631313131313
"2019Q2",2019,2,"BOGOTA",25.0546249089585,4.55207574654042
"2019Q2",2019,2,"CALI",19.2033542976939,3.88888888888889
"2019Q2",2019,2,"MEDELLIN",24.222086638194,3.63026235509457
"2019Q3",2019,3,"BOGOTA",25.2123552123552,3.28369606720122
"2019Q3",2019,3,"CALI",19.0456934896886,2.7363184079602
"2019Q3",2019,3,"MEDELLIN",21.2800519818064,3.39506172839506
"2019Q4",2019,4,"BOGOTA",25.4951538137379,3.64326375711575
"2019Q4",2019,4,"CALI",19.2340425531915,5.14893617021277
"2019Q4",2019,4,"MEDELLIN",21.1883774077702,2.42902208201893
"2020Q1",2020,1,"BOGOTA",25.5573248407643,3.86146496815287
"2020Q1",2020,1,"CALI",23.4965635738832,5.28350515463918
"2020Q1",2020,1,"MEDELLIN",19.9637023593466,2.81818181818182
"2020Q2",2020,2,"BOGOTA",50.5942275042445,21.7657045840407
"2020Q2",2020,2,"CALI",50.2029220779221,25.5733944954128
"2020Q2",2020,2,"MEDELLIN",43.1627638045678,15.0043365134432
"2020Q3",2020,3,"BOGOTA",39.2083644510829,10.604929051531
"2020Q3",2020,3,"CALI",32.2705730288669,10.8573890564412
"2020Q3",2020,3,"MEDELLIN",35.1769253642581,9.39637228664883
"2020Q4",2020,4,"BOGOTA",33.2560834298957,8.84749708963912
"2020Q4",2020,4,"CALI",25.2679307502061,5.76836412798558
"2020Q4",2020,4,"MEDELLIN",25.4265091863517,5.02143294549908
"2021Q1",2021,1,"BOGOTA",34.3141153081511,9.54274353876739
"2021Q1",2021,1,"CALI",26.1800699300699,7.29613733905579
"2021Q1",2021,1,"MEDELLIN",25.1195409627032,4.65412814791202
"2021Q2",2021,2,"BOGOTA",35.2365415986949,10.1957585644372
"2021Q2",2021,2,"CALI",29.8042704626335,9.78260869565217
"2021Q2",2021,2,"MEDELLIN",28.0184331797235,4.57757296466974
"2021Q3",2021,3,"BOGOTA",31.3396149119213,8.84883244571897
"2021Q3",2021,3,"CALI",24.5337159253945,5.54272517321016
"2021Q3",2021,3,"MEDELLIN",24.0665308893415,4.09268733072525
"2021Q4",2021,4,"BOGOTA",29.297716501508,6.46531382727702
"2021Q4",2021,4,"CALI",23.8095238095238,5.23809523809524
"2021Q4",2021,4,"MEDELLIN",24.0683229813665,4.90859851049424
"2022Q1",2022,1,"BOGOTA",31.7488006977758,9.94255413168361
"2022Q1",2022,1,"CALI",26.6997708174179,8.6707410236822
"2022Q1",2022,1,"MEDELLIN",27.9603011635866,7.47181964573269
"2022Q2",2022,2,"BOGOTA",28.1739130434783,7.95652173913043
"2022Q2",2022,2,"CALI",22.1735959153902,4.9598832968636
"2022Q2",2022,2,"MEDELLIN",23.2970027247956,4.49591280653951
"2022Q3",2022,3,"BOGOTA",29.3162393162393,7.30769230769231
"2022Q3",2022,3,"CALI",22.1917808219178,6.10567514677104
"2022Q3",2022,3,"MEDELLIN",24.0868366643694,6.03032391454169
"2022Q4",2022,4,"BOGOTA",28.6355475763016,7.07644628099174
"2022Q4",2022,4,"CALI",22.4404513163393,6.01415094339623
"2022Q4",2022,4,"MEDELLIN",22.9181245626312,4.82855143456963
"2023Q1",2023,1,"BOGOTA",29.2357274401473,8
"2023Q1",2023,1,"CALI",23.6550308008214,7.06365503080082
"2023Q1",2023,1,"MEDELLIN",28.8912964969303,7.80065005417118
"2023Q2",2023,2,"BOGOTA",24.0631163708087,5.28022232515053
"2023Q2",2023,2,"CALI",20.2974276527331,4.71264367816092
"2023Q2",2023,2,"MEDELLIN",23.9503468419131,5.36692223439211
"2023Q3",2023,3,"BOGOTA",23.5140997830803,5.10814542107685
"2023Q3",2023,3,"CALI",22.1264367816092,6.11658456486043
"2023Q3",2023,3,"MEDELLIN",20.6837016574586,3.31491712707182
"2023Q4",2023,4,"BOGOTA",22.8135122628413,4.73982483256054
"2023Q4",2023,4,"CALI",21.1279826464208,6.87691633815156
"2023Q4",2023,4,"MEDELLIN",22.430981595092,5.32975460122699
"2024Q1",2024,1,"BOGOTA",20.7129963898917,4.9187725631769
"2024Q1",2024,1,"CALI",24.2460317460317,7.01906412478336
"2024Q1",2024,1,"MEDELLIN",23.7132352941176,5.51090700344432
"2024Q2",2024,2,"BOGOTA",19.7519929140833,3.94154118689105
"2024Q2",2024,2,"CALI",20.2365863962822,7.12822613682917
"2024Q2",2024,2,"MEDELLIN",21.1786372007366,3.64640883977901
"2024Q3",2024,3,"BOGOTA",19.3815331010453,3.65853658536585
"2024Q3",2024,3,"CALI",22.0904699165569,6.89503732981994
"2024Q3",2024,3,"MEDELLIN",19.0388848129127,3.55832721936904
"2024Q4",2024,4,"BOGOTA",16.6291122127084,3.24470482199189
"2024Q4",2024,4,"CALI",21.0694698354662,7.17550274223035
"2024Q4",2024,4,"MEDELLIN",17.2768878718535,2.39431350542462
