deciles,rate,gap,severity,model,ciudad,fecha,escenario
Decil 1,61.44578313253012,0.385906580091452,0.30396862338274566,CoCA,BOGOTÁ D.C.,2022-01-01,q1
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q1
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q1
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q1
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q1
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q1
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q1
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q1
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q1
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q1
Decil 1,100,0.7566635463408787,0.6048525684691751,CoNA,BOGOTÁ D.C.,2022-01-01,q1
Decil 2,100,0.2834806835131935,0.0921172353703108,CoNA,BOGOTÁ D.C.,2022-01-01,q1
Decil 3,98.80952380952381,0.15170238619256723,0.029528274619826184,CoNA,BOGOTÁ D.C.,2022-01-01,q1
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q1
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q1
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q1
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q1
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q1
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q1
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q1
Decil 1,63.85542168674698,0.40002999214418716,0.3140212243435086,CoCA,BOGOTÁ D.C.,2022-01-01,q2
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q2
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q2
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q2
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q2
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q2
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q2
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q2
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q2
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q2
Decil 1,100,0.7677157918947944,0.6188317693124001,CoNA,BOGOTÁ D.C.,2022-01-01,q2
Decil 2,100,0.31602470768570634,0.11058390504731853,CoNA,BOGOTÁ D.C.,2022-01-01,q2
Decil 3,100,0.19017694961331447,0.042119699909892096,CoNA,BOGOTÁ D.C.,2022-01-01,q2
Decil 4,3.571428571428571,2.4862825591255225e-4,2.257750203232516e-6,CoNA,BOGOTÁ D.C.,2022-01-01,q2
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q2
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q2
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q2
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q2
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q2
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q2
Decil 1,63.85542168674698,0.4070671782428014,0.3192290157443036,CoCA,BOGOTÁ D.C.,2022-01-01,q3
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q3
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q3
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q3
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q3
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q3
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q3
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q3
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q3
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-01-01,q3
Decil 1,100,0.7747008864411775,0.6278614672994329,CoNA,BOGOTÁ D.C.,2022-01-01,q3
Decil 2,100,0.3365927528540693,0.12337239189599515,CoNA,BOGOTÁ D.C.,2022-01-01,q3
Decil 3,100,0.21452940395764625,0.05162268078677822,CoNA,BOGOTÁ D.C.,2022-01-01,q3
Decil 4,10.714285714285714,0.0028674694165827536,8.588082819060798e-5,CoNA,BOGOTÁ D.C.,2022-01-01,q3
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q3
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q3
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q3
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q3
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q3
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-01-01,q3
Decil 1,58.536585365853654,0.3249637110283819,0.23936513142538862,CoCA,BOGOTÁ D.C.,2022-02-01,q1
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q1
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q1
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q1
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q1
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q1
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q1
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q1
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q1
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q1
Decil 1,100,0.7050746595129203,0.5362187972780161,CoNA,BOGOTÁ D.C.,2022-02-01,q1
Decil 2,100,0.23384964107409076,0.06950470634653387,CoNA,BOGOTÁ D.C.,2022-02-01,q1
Decil 3,29.88505747126437,0.014997631448096443,9.620721546848538e-4,CoNA,BOGOTÁ D.C.,2022-02-01,q1
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q1
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q1
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q1
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q1
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q1
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q1
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q1
Decil 1,64.63414634146342,0.3592867294335287,0.2621615507613041,CoCA,BOGOTÁ D.C.,2022-02-01,q2
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q2
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q2
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q2
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q2
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q2
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q2
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q2
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q2
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q2
Decil 1,100,0.721250022200434,0.5551200279230009,CoNA,BOGOTÁ D.C.,2022-02-01,q2
Decil 2,100,0.2758696313140895,0.08934216141370699,CoNA,BOGOTÁ D.C.,2022-02-01,q2
Decil 3,58.620689655172406,0.03971496220119584,0.0036729470832610896,CoNA,BOGOTÁ D.C.,2022-02-01,q2
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q2
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q2
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q2
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q2
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q2
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q2
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q2
Decil 1,67.07317073170732,0.3775620536029474,0.27463704888411805,CoCA,BOGOTÁ D.C.,2022-02-01,q3
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q3
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q3
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q3
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q3
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q3
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q3
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q3
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q3
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-02-01,q3
Decil 1,100,0.7313208502829737,0.5672710938505744,CoNA,BOGOTÁ D.C.,2022-02-01,q3
Decil 2,100,0.3020314000430024,0.10352180699424224,CoNA,BOGOTÁ D.C.,2022-02-01,q3
Decil 3,71.26436781609196,0.06202494907390898,0.007006874882277554,CoNA,BOGOTÁ D.C.,2022-02-01,q3
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q3
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q3
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q3
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q3
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q3
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q3
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-02-01,q3
Decil 1,40,0.2590085162834322,0.2052335244908912,CoCA,BOGOTÁ D.C.,2022-03-01,q1
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-03-01,q1
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-03-01,q1
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-03-01,q1
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-03-01,q1
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-03-01,q1
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-03-01,q1
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-03-01,q1
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-03-01,q1
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-03-01,q1
Decil 1,100,0.6257044170814128,0.44748569213406636,CoNA,BOGOTÁ D.C.,2022-03-01,q1
Decil 2,88.04347826086956,0.15043168090573536,0.03555880140545372,CoNA,BOGOTÁ D.C.,2022-03-01,q1
Decil 3,34.40860215053764,0.015040924040332282,8.423250066092922e-4,CoNA,BOGOTÁ D.C.,2022-03-01,q1
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2022-03-01,q1
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-03-01,q1
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-03-01,q1
