ciudad,fecha,model,escenario,n_deciles,sum_rate,incidence
BOGOTÁ D.C.,2022-01-01,CoCA,q1,10,61.44578313253012,6.144578313253012
BOGOTÁ D.C.,2022-01-01,CoCA,q2,10,63.85542168674698,6.385542168674698
BOGOTÁ D.C.,2022-01-01,CoCA,q3,10,63.85542168674698,6.385542168674698
BOGOTÁ D.C.,2022-01-01,CoNA,q1,10,298.8095238095238,29.88095238095238
BOGOTÁ D.C.,2022-01-01,CoNA,q2,10,303.57142857142856,30.357142857142858
BOGOTÁ D.C.,2022-01-01,CoNA,q3,10,310.7142857142857,31.071428571428573
BOGOTÁ D.C.,2022-02-01,CoCA,q1,10,58.536585365853654,5.853658536585366
BOGOTÁ D.C.,2022-02-01,CoCA,q2,10,64.63414634146342,6.463414634146343
BOGOTÁ D.C.,2022-02-01,CoCA,q3,10,67.07317073170732,6.707317073170732
BOGOTÁ D.C.,2022-02-01,CoNA,q1,10,229.88505747126436,22.98850574712644
BOGOTÁ D.C.,2022-02-01,CoNA,q2,10,258.6206896551724,25.86206896551724
BOGOTÁ D.C.,2022-02-01,CoNA,q3,10,271.264367816092,27.1264367816092
BOGOTÁ D.C.,2022-03-01,CoCA,q1,10,40,4
BOGOTÁ D.C.,2022-03-01,CoCA,q2,10,48.888888888888886,4.888888888888889
BOGOTÁ D.C.,2022-03-01,CoCA,q3,10,51.11111111111111,5.111111111111111
BOGOTÁ D.C.,2022-03-01,CoNA,q1,10,222.4520804114072,22.24520804114072
BOGOTÁ D.C.,2022-03-01,CoNA,q2,10,248.38709677419354,24.838709677419356
BOGOTÁ D.C.,2022-03-01,CoNA,q3,10,267.741935483871,26.7741935483871
BOGOTÁ D.C.,2022-04-01,CoCA,q1,10,49.382716049382715,4.938271604938272
BOGOTÁ D.C.,2022-04-01,CoCA,q2,10,55.55555555555556,5.555555555555556
BOGOTÁ D.C.,2022-04-01,CoCA,q3,10,59.25925925925925,5.925925925925926
BOGOTÁ D.C.,2022-04-01,CoNA,q1,10,239.2405063291139,23.924050632911392
BOGOTÁ D.C.,2022-04-01,CoNA,q2,10,253.1645569620253,25.31645569620253
BOGOTÁ D.C.,2022-04-01,CoNA,q3,10,270.88607594936707,27.088607594936708
BOGOTÁ D.C.,2022-05-01,CoCA,q1,10,30.864197530864196,3.0864197530864197
BOGOTÁ D.C.,2022-05-01,CoCA,q2,10,32.098765432098766,3.2098765432098766
BOGOTÁ D.C.,2022-05-01,CoCA,q3,10,33.33333333333333,3.333333333333333
BOGOTÁ D.C.,2022-05-01,CoNA,q1,10,200.0420168067227,20.00420168067227
BOGOTÁ D.C.,2022-05-01,CoNA,q2,10,234.52380952380952,23.452380952380953
BOGOTÁ D.C.,2022-05-01,CoNA,q3,10,242.85714285714286,24.28571428571429
BOGOTÁ D.C.,2022-06-01,CoCA,q1,10,42.68292682926829,4.2682926829268295
BOGOTÁ D.C.,2022-06-01,CoCA,q2,10,43.90243902439025,4.390243902439025
BOGOTÁ D.C.,2022-06-01,CoCA,q3,10,48.78048780487805,4.878048780487806
BOGOTÁ D.C.,2022-06-01,CoNA,q1,10,265.1685393258427,26.51685393258427
BOGOTÁ D.C.,2022-06-01,CoNA,q2,10,277.5280898876405,27.75280898876405
BOGOTÁ D.C.,2022-06-01,CoNA,q3,10,298.87640449438203,29.887640449438205
BOGOTÁ D.C.,2022-07-01,CoCA,q1,10,36.708860759493675,3.6708860759493676
BOGOTÁ D.C.,2022-07-01,CoCA,q2,10,37.9746835443038,3.7974683544303804
BOGOTÁ D.C.,2022-07-01,CoCA,q3,10,43.037974683544306,4.303797468354431
BOGOTÁ D.C.,2022-07-01,CoNA,q1,10,284.70588235294116,28.470588235294116
BOGOTÁ D.C.,2022-07-01,CoNA,q2,10,300,30
