Demo_Group,Sex,Person,cost_day,total_household,per_capita,per_capita_year,per_capita_month,ciudad,fecha,escenario
31 a 50 años,0,1,1206.908689768689,2891.3583827116868,963.7861275705623,351781.9365632552,28913.58382711687,BOGOTÁ D.C.,2013-01-01,q1
31 a 50 años,1,2,866.0113750363439,2891.3583827116868,963.7861275705623,351781.9365632552,28913.58382711687,BOGOTÁ D.C.,2013-01-01,q1
9 a 13 años,1,3,818.4383179066537,2891.3583827116868,963.7861275705623,351781.9365632552,28913.58382711687,BOGOTÁ D.C.,2013-01-01,q1
31 a 50 años,0,1,1381.722507002119,3310.1550987818796,1103.3850329272932,402735.537018462,33101.550987818795,BOGOTÁ D.C.,2013-01-01,q2
31 a 50 años,1,2,991.4481670000255,3310.1550987818796,1103.3850329272932,402735.537018462,33101.550987818795,BOGOTÁ D.C.,2013-01-01,q2
9 a 13 años,1,3,936.984424779735,3310.1550987818796,1103.3850329272932,402735.537018462,33101.550987818795,BOGOTÁ D.C.,2013-01-01,q2
31 a 50 años,0,1,1497.1409600235368,3586.65995328504,1195.55331776168,436376.9609830132,35866.5995328504,BOGOTÁ D.C.,2013-01-01,q3
31 a 50 años,1,2,1074.26610845076,3586.65995328504,1195.55331776168,436376.9609830132,35866.5995328504,BOGOTÁ D.C.,2013-01-01,q3
9 a 13 años,1,3,1015.2528848107435,3586.65995328504,1195.55331776168,436376.9609830132,35866.5995328504,BOGOTÁ D.C.,2013-01-01,q3
31 a 50 años,0,1,1208.0853162150465,2894.1771947459656,964.7257315819885,352124.8920274258,28941.771947459656,BOGOTÁ D.C.,2013-02-01,q1
31 a 50 años,1,2,866.8556575370437,2894.1771947459656,964.7257315819885,352124.8920274258,28941.771947459656,BOGOTÁ D.C.,2013-02-01,q1
9 a 13 años,1,3,819.2362209938756,2894.1771947459656,964.7257315819885,352124.8920274258,28941.771947459656,BOGOTÁ D.C.,2013-02-01,q1
31 a 50 años,0,1,1383.0695610561156,3313.3821996089814,1104.4607332029939,403128.16761909274,33133.82199608981,BOGOTÁ D.C.,2013-02-01,q2
31 a 50 años,1,2,992.4147389896376,3313.3821996089814,1104.4607332029939,403128.16761909274,33133.82199608981,BOGOTÁ D.C.,2013-02-01,q2
9 a 13 años,1,3,937.8978995632281,3313.3821996089814,1104.4607332029939,403128.16761909274,33133.82199608981,BOGOTÁ D.C.,2013-02-01,q2
31 a 50 años,0,1,1498.600536593593,3590.1566212490848,1196.718873749695,436802.38891863864,35901.56621249085,BOGOTÁ D.C.,2013-02-01,q3
