Demo_Group,Sex,Person,cost_day,total_household,per_capita,per_capita_year,per_capita_month,ciudad,fecha,escenario
31 a 50 años,0,1,3170.83976417537,9595.676508221764,3198.5588360739216,1167473.9751669813,95956.76508221765,BOGOTÁ D.C.,2013-01-01,q1
31 a 50 años,1,2,3257.0470567575526,9595.676508221764,3198.5588360739216,1167473.9751669813,95956.76508221765,BOGOTÁ D.C.,2013-01-01,q1
9 a 13 años,1,3,3167.789687288842,9595.676508221764,3198.5588360739216,1167473.9751669813,95956.76508221765,BOGOTÁ D.C.,2013-01-01,q1
31 a 50 años,0,1,3440.2095432293477,10253.514901681323,3417.838300560441,1247510.979704561,102535.14901681323,BOGOTÁ D.C.,2013-01-01,q2
31 a 50 años,1,2,3488.84496766112,10253.514901681323,3417.838300560441,1247510.979704561,102535.14901681323,BOGOTÁ D.C.,2013-01-01,q2
9 a 13 años,1,3,3324.4603907908563,10253.514901681323,3417.838300560441,1247510.979704561,102535.14901681323,BOGOTÁ D.C.,2013-01-01,q2
31 a 50 años,0,1,3678.6161411159474,10828.906046932912,3609.6353489776375,1317516.9023768376,108289.06046932912,BOGOTÁ D.C.,2013-01-01,q3
31 a 50 años,1,2,3705.3685299413346,10828.906046932912,3609.6353489776375,1317516.9023768376,108289.06046932912,BOGOTÁ D.C.,2013-01-01,q3
9 a 13 años,1,3,3444.9213758756296,10828.906046932912,3609.6353489776375,1317516.9023768376,108289.06046932912,BOGOTÁ D.C.,2013-01-01,q3
31 a 50 años,0,1,3162.710484475907,9587.91064266086,3195.9702142202864,1166529.1281904045,95879.10642660859,BOGOTÁ D.C.,2013-02-01,q1
31 a 50 años,1,2,3266.029541826062,9587.91064266086,3195.9702142202864,1166529.1281904045,95879.10642660859,BOGOTÁ D.C.,2013-02-01,q1
9 a 13 años,1,3,3159.1706163588897,9587.91064266086,3195.9702142202864,1166529.1281904045,95879.10642660859,BOGOTÁ D.C.,2013-02-01,q1
31 a 50 años,0,1,3432.784938745843,10244.813846123236,3414.9379487077454,1246452.3512783272,102448.13846123236,BOGOTÁ D.C.,2013-02-01,q2
31 a 50 años,1,2,3498.514835184403,10244.813846123236,3414.9379487077454,1246452.3512783272,102448.13846123236,BOGOTÁ D.C.,2013-02-01,q2
9 a 13 años,1,3,3313.514072192989,10244.813846123236,3414.9379487077454,1246452.3512783272,102448.13846123236,BOGOTÁ D.C.,2013-02-01,q2
