alimento_sipsa,articulo_ipc,codigo_articulo,n_obs,margen_q1,margen_q2,margen_q3
Aguacate papelillo,AGUACATE,1410503,63,9.812666421286512,24.89354209299006,48.2951053588215
Ahuyama,AHUYAMA,1310507,63,46.61968153796054,83.59989244420538,106.01133491494937
Arracacha amarilla,ARRACACHA,1210303,63,90.13316482518185,125.79967689822296,191.24861960031643
Arroz de primera,ARROZ PARA SECO,1110101,63,17.124999787700887,21.025724519700397,25.59341624122354
Arveja verde en vaina pastusa,ARVEJA FRESCA,1320201,63,265.52724140573366,333.13164412269003,439.14649164499696
Arveja verde seca importada,ARVEJA SECA,1320202,63,-3.5106688648875366,3.016113744075806,6.654138653490131
Avena en hojuelas,AVENA HOJUELAS,1110501,63,66.65772865863741,68.75619276384927,71.22156740216036
Avena molida,AVENA MOLIDA,1110502,63,76.31325482770262,78.70063655353395,82.23785773127685
Azúcar morena,AZÚCAR NATURAL O MORENA,1810202,63,1.3824677334036921,9.015800561797754,12.618069201880635
Azúcar sulfitada,AZÚCAR REFINADA,1810201,63,14.347912740492937,27.929040735873844,41.204328001498915
Banano criollo,BANANOS,1410201,63,71.92545201448945,86.45143872113677,92.47421712745609
Bocachico importado congelado,PESCADO DE RÍO,1610102,63,53.969647620639996,65.80653213159763,81.20492832502794
Café molido,CAFÉ MOLIDO,1820101,63,4.340891135838154,6.659949318436588,8.709504286445327
"Carne de cerdo, costilla",CARNE DE CERDO CON HUESO,1510202,63,15.141482778801883,19.62616638837049,30.143392097952827
"Carne de cerdo, espinazo",CARNE DE CERDO CON HUESO,1510202,63,77.30808978365963,94.11998205283854,106.01348173124873
"Carne de res, cadera",CARNE DE RES SIN HUESO,1510101,63,5.225124623432098,6.426569827290399,12.178208473527091
"Carne de res, costilla",CARNE DE RES CON HUESO,1510102,63,-23.180600567644028,-13.13212903225806,-10.958586245090189
"Carne de res, falda",CARNE DE RES SIN HUESO,1510101,63,92.65519519714584,101.02698339483396,104.72521431774723
"Carne de res, lomo de brazo",CARNE DE RES SIN HUESO,1510101,43,12.79458171672271,15.467176688980134,30.365702247570347
"Carne de res, lomo fino",CARNE DE RES SIN HUESO,1510101,43,-6.258651760600854,-2.7924233270549714,-0.6172926477282525
"Carne de res, pecho",CARNE DE RES SIN HUESO,1510101,63,18.61997881828459,32.14600626683525,45.246378719442106
"Carne de res, punta de anca",CARNE DE RES SIN HUESO,1510101,63,-7.617407939214719,2.7724916484276036,6.703537431084725
Cebolla cabezona blanca bogotana,CEBOLLA CABEZONA,1310102,63,50.03204657496072,71.58436944937833,106.02863674078306
Cebolla cabezona blanca importada,CEBOLLA CABEZONA,1310102,27,58.22647250081326,75.49223536116256,124.93148788331258
Cebolla cabezona blanca pastusa,CEBOLLA CABEZONA,1310102,63,67.70445396960454,99.34568690095848,156.5899091699681
Cebolla cabezona roja importada,CEBOLLA CABEZONA,1310102,39,-10.76360746601484,18.43586916574789,45.79617108512241
Curuba,CURUBAS,1410504,63,83.08280108359438,96.9992737835875,109.71626313285462
Fríjol verde cargamanto,FRÍJOL FRESCO,1320101,63,242.61735533069685,280.6509888185905,337.10148798587056
Habichuela,HABICHUELAS FRESCAS,1310501,63,57.762391490839214,80.87242268041236,100.37545197985952
Harina de trigo,HARINA DE TRIGO,1110202,63,2.7372421981375785,3.7347806953204867,6.0280870047472614
