Food,quantity,Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
Azúcar sulfitada,256.70163735052387,1 a 3 años,1,460.5078052166766,451.8745165141762,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,331.6301892979546,4 a 8 años,1,594.9252688585565,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,456.22344268018134,9 a 13 años,1,818.4383179066537,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,532.2268203405163,14 a 18 años,1,954.7839563554753,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,511.7956964594458,19 a 30 años,1,918.1317085798433,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,482.7421716151133,31 a 50 años,1,866.0113750363439,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,438.5859414811083,51 a 70 años,1,786.7976667190618,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,412.3621988433249,>70 años,1,739.7537978472687,451.8745165141762,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,634.8607677581864,gestantes < 18 años,1,1138.9032878636604,451.8745165141762,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,631.4430516231738,gestantes 19 a 30 años,1,1132.772103924077,451.8745165141762,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,602.3895267788413,gestantes 31 a 50 años,1,1080.6517703805775,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,642.4174428211587,lactantes < 18 años,1,1152.4595233590858,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,638.9997266861461,lactantes 19 a 30 años,1,1146.3283394195025,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,609.9462018418135,lactantes 31 a 50 años,1,1094.208005876003,451.8745165141763,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,279.7515925603274,1 a 3 años,0,501.8580840601071,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,361.81436436488667,4 a 8 años,0,649.0739231321106,451.8745165141762,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,505.44267832640804,9 a 13 años,0,906.7347636006726,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,691.8723089557052,14 a 18 años,0,1241.1786764426572,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,710.2093258186397,19 a 30 años,0,1274.074218040783,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,672.7691328715365,31 a 50 años,0,1206.908689768689,451.8745165141763,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,546.8919438013853,51 a 70 años,0,981.0923347822738,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,510.2501835666925,>70 años,0,915.3591483518614,451.87451651417626,BOGOTÁ D.C.,2013-01-01,q1
Azúcar sulfitada,256.701637350524,1 a 3 años,1,527.2097255675402,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,331.6301892979547,4 a 8 años,1,681.096789620182,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,456.22344268018145,9 a 13 años,1,936.984424779735,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,532.2268203405164,14 a 18 años,1,1093.0789487262123,517.3259544000807,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,511.7956964594458,19 a 30 años,1,1051.117832601085,517.3259544000806,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,482.7421716151133,31 a 50 años,1,991.4481670000255,517.3259544000807,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,438.5859414811083,51 a 70 años,1,900.760806329794,517.3259544000807,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,412.362198843325,>70 años,1,846.9029022583017,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,634.8607677581865,gestantes < 18 años,1,1303.8669117889372,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,631.443051623174,gestantes 19 a 30 años,1,1296.8476609411239,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,602.3895267788414,gestantes 31 a 50 años,1,1237.177995340064,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,642.4174428211588,lactantes < 18 años,1,1319.3866904209397,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,638.9997266861462,lactantes 19 a 30 años,1,1312.3674395731261,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,609.9462018418137,lactantes 31 a 50 años,1,1252.6977739720664,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,279.7515925603275,1 a 3 años,0,574.5493556763693,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,361.8143643648867,4 a 8 años,0,743.0885666020725,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,505.44267832640816,9 a 13 años,0,1038.070105360176,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,691.8723089557053,14 a 18 años,0,1420.956305137386,517.3259544000807,BOGOTÁ D.C.,2013-01-01,q2
Azúcar sulfitada,710.20932581864,19 a 30 años,0,1458.6165776927742,517.3259544000808,BOGOTÁ D.C.,2013-01-01,q2
