Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
1 a 3 años,1,1464.886843238673,1437.4241360034687,BOGOTÁ D.C.,2013-01-01,q1
14 a 18 años,1,3336.8711799550433,1579.2547005795348,BOGOTÁ D.C.,2013-01-01,q1
19 a 30 años,1,3221.470830438825,1585.502995230368,BOGOTÁ D.C.,2013-01-01,q1
31 a 50 años,1,3257.0470567575526,1699.488720889745,BOGOTÁ D.C.,2013-01-01,q1
4 a 8 años,1,2403.021523744089,1825.2110744910624,BOGOTÁ D.C.,2013-01-01,q1
51 a 70 años,1,3107.5906519393257,1784.7549411589653,BOGOTÁ D.C.,2013-01-01,q1
9 a 13 años,1,3167.789687288842,1748.993665183751,BOGOTÁ D.C.,2013-01-01,q1
>70 años,1,2987.3829305513036,1824.8263426481144,BOGOTÁ D.C.,2013-01-01,q1
gestantes 19 a 30 años,1,3867.2833666775587,1542.6993615817944,BOGOTÁ D.C.,2013-01-01,q1
gestantes 31 a 50 años,1,4186.4685518398255,1750.5717425502514,BOGOTÁ D.C.,2013-01-01,q1
gestantes < 18 años,1,5581.59550275096,2214.569749741929,BOGOTÁ D.C.,2013-01-01,q1
lactantes 19 a 30 años,1,3346.308382795766,1319.0910759033834,BOGOTÁ D.C.,2013-01-01,q1
lactantes 31 a 50 años,1,3362.589032181616,1388.6466604096463,BOGOTÁ D.C.,2013-01-01,q1
lactantes < 18 años,1,3502.6709101063852,1373.3824849651894,BOGOTÁ D.C.,2013-01-01,q1
1 a 3 años,0,1835.6461381655217,1652.821260672389,BOGOTÁ D.C.,2013-01-01,q1
14 a 18 años,0,3244.3153931445663,1181.1542346975618,BOGOTÁ D.C.,2013-01-01,q1
19 a 30 años,0,3143.045710359899,1114.7406019525026,BOGOTÁ D.C.,2013-01-01,q1
31 a 50 años,0,3170.83976417537,1187.1831709616583,BOGOTÁ D.C.,2013-01-01,q1
4 a 8 años,0,2366.4693162308417,1647.4967488409536,BOGOTÁ D.C.,2013-01-01,q1
51 a 70 años,0,3162.162036369605,1456.4382889008177,BOGOTÁ D.C.,2013-01-01,q1
9 a 13 años,0,3138.437802524318,1564.0517178297534,BOGOTÁ D.C.,2013-01-01,q1
>70 años,0,2950.297179932841,1456.4382889008177,BOGOTÁ D.C.,2013-01-01,q1
1 a 3 años,1,1531.4778406783134,1502.7667304853144,BOGOTÁ D.C.,2013-01-01,q2
14 a 18 años,1,3520.422476239449,1666.1247749157747,BOGOTÁ D.C.,2013-01-01,q2
19 a 30 años,1,3461.2512502184163,1703.515106395497,BOGOTÁ D.C.,2013-01-01,q2
31 a 50 años,1,3488.84496766112,1820.4381355713235,BOGOTÁ D.C.,2013-01-01,q2
4 a 8 años,1,2523.750880269924,1916.9108601017658,BOGOTÁ D.C.,2013-01-01,q2
51 a 70 años,1,3283.8299989149573,1885.9729201560785,BOGOTÁ D.C.,2013-01-01,q2
9 a 13 años,1,3324.4603907908563,1835.494378612497,BOGOTÁ D.C.,2013-01-01,q2
>70 años,1,3145.962786607577,1921.6939707595125,BOGOTÁ D.C.,2013-01-01,q2
gestantes 19 a 30 años,1,4074.7900635212873,1625.4759306589133,BOGOTÁ D.C.,2013-01-01,q2
gestantes 31 a 50 años,1,4444.970049303915,1858.6641386260355,BOGOTÁ D.C.,2013-01-01,q2
gestantes < 18 años,1,5907.324102581811,2343.8067579504727,BOGOTÁ D.C.,2013-01-01,q2
lactantes 19 a 30 años,1,3664.5974558394837,1444.5583753211417,BOGOTÁ D.C.,2013-01-01,q2
lactantes 31 a 50 años,1,3680.4896464201474,1519.929913307429,BOGOTÁ D.C.,2013-01-01,q2
lactantes < 18 años,1,3776.008686041407,1480.5570736094883,BOGOTÁ D.C.,2013-01-01,q2
1 a 3 años,0,1931.110174012949,1738.777363428929,BOGOTÁ D.C.,2013-01-01,q2
14 a 18 años,0,3466.4328796695345,1262.0202967218838,BOGOTÁ D.C.,2013-01-01,q2
19 a 30 años,0,3411.328551219547,1209.8921851849639,BOGOTÁ D.C.,2013-01-01,q2
31 a 50 años,0,3440.2095432293477,1288.0369801232157,BOGOTÁ D.C.,2013-01-01,q2
4 a 8 años,0,2491.49718826715,1734.5390828699103,BOGOTÁ D.C.,2013-01-01,q2
51 a 70 años,0,3363.7182608805288,1549.2716729484569,BOGOTÁ D.C.,2013-01-01,q2
9 a 13 años,0,3308.1310747248444,1648.6189677124837,BOGOTÁ D.C.,2013-01-01,q2
>70 años,0,3138.349137401533,1549.2716729484566,BOGOTÁ D.C.,2013-01-01,q2
1 a 3 años,1,1585.7219068649397,1555.9938656272927,BOGOTÁ D.C.,2013-01-01,q3
14 a 18 años,1,3666.9110701167997,1735.45403217148,BOGOTÁ D.C.,2013-01-01,q3
19 a 30 años,1,3679.49952989758,1810.9297996673072,BOGOTÁ D.C.,2013-01-01,q3
31 a 50 años,1,3705.3685299413346,1933.4175753798945,BOGOTÁ D.C.,2013-01-01,q3
4 a 8 años,1,2614.445651154047,1985.7979252328485,BOGOTÁ D.C.,2013-01-01,q3
51 a 70 años,1,3427.343170256333,1968.3955653377711,BOGOTÁ D.C.,2013-01-01,q3
9 a 13 años,1,3444.9213758756296,1902.0030552025341,BOGOTÁ D.C.,2013-01-01,q3
>70 años,1,3273.1543715882754,1999.3882470654548,BOGOTÁ D.C.,2013-01-01,q3
gestantes 19 a 30 años,1,4319.346014066639,1723.0318305003907,BOGOTÁ D.C.,2013-01-01,q3
gestantes 31 a 50 años,1,4713.4530117914765,1970.930284105878,BOGOTÁ D.C.,2013-01-01,q3
gestantes < 18 años,1,6305.935579877349,2501.9609844766283,BOGOTÁ D.C.,2013-01-01,q3
lactantes 19 a 30 años,1,3944.9944585327953,1555.0888888461936,BOGOTÁ D.C.,2013-01-01,q3
lactantes 31 a 50 años,1,3959.577981425281,1635.1848792446342,BOGOTÁ D.C.,2013-01-01,q3
lactantes < 18 años,1,3987.0876032810097,1563.3202264502638,BOGOTÁ D.C.,2013-01-01,q3
1 a 3 años,0,2026.5575107311379,1824.7184302409366,BOGOTÁ D.C.,2013-01-01,q3
14 a 18 años,0,3649.307476173965,1328.599244175158,BOGOTÁ D.C.,2013-01-01,q3
19 a 30 años,0,3656.525990674733,1296.8560942224744,BOGOTÁ D.C.,2013-01-01,q3
31 a 50 años,0,3678.6161411159474,1377.2979715033985,BOGOTÁ D.C.,2013-01-01,q3
4 a 8 años,0,2579.0958696038265,1795.523834168625,BOGOTÁ D.C.,2013-01-01,q3
51 a 70 años,0,3535.9411381281902,1628.5946139504806,BOGOTÁ D.C.,2013-01-01,q3
9 a 13 años,0,3443.5909156768903,1716.1258645417734,BOGOTÁ D.C.,2013-01-01,q3
>70 años,0,3299.0330818736015,1628.5946139504806,BOGOTÁ D.C.,2013-01-01,q3
1 a 3 años,1,1453.640098718956,1426.38823783907,BOGOTÁ D.C.,2013-02-01,q1
14 a 18 años,1,3330.7689355621196,1576.3666663633699,BOGOTÁ D.C.,2013-02-01,q1
19 a 30 años,1,3222.988148083403,1586.249769543853,BOGOTÁ D.C.,2013-02-01,q1
31 a 50 años,1,3266.029541826062,1704.175675603905,BOGOTÁ D.C.,2013-02-01,q1
4 a 8 años,1,2396.594243326943,1820.3292441444453,BOGOTÁ D.C.,2013-02-01,q1
51 a 70 años,1,3097.080650981331,1778.7188256456998,BOGOTÁ D.C.,2013-02-01,q1
9 a 13 años,1,3159.1706163588897,1744.2349210920775,BOGOTÁ D.C.,2013-02-01,q1
>70 años,1,2973.6929456097273,1816.4638910528263,BOGOTÁ D.C.,2013-02-01,q1
gestantes 19 a 30 años,1,3861.94645409463,1540.5704119139373,BOGOTÁ D.C.,2013-02-01,q1
gestantes 31 a 50 años,1,4184.178887592846,1749.6143194891133,BOGOTÁ D.C.,2013-02-01,q1
gestantes < 18 años,1,5580.739049888769,2214.229941059853,BOGOTÁ D.C.,2013-02-01,q1
lactantes 19 a 30 años,1,3332.538245762207,1313.6629853633367,BOGOTÁ D.C.,2013-02-01,q1
lactantes 31 a 50 años,1,3349.8585020260875,1383.3893399287347,BOGOTÁ D.C.,2013-02-01,q1
lactantes < 18 años,1,3479.96743822455,1364.4805494331836,BOGOTÁ D.C.,2013-02-01,q1
1 a 3 años,0,1834.2862041731241,1651.5967720464666,BOGOTÁ D.C.,2013-02-01,q1
14 a 18 años,0,3229.9754857093244,1175.9335208212453,BOGOTÁ D.C.,2013-02-01,q1
19 a 30 años,0,3127.9513997603017,1109.387119236862,BOGOTÁ D.C.,2013-02-01,q1
31 a 50 años,0,3162.710484475907,1184.13951540979,BOGOTÁ D.C.,2013-02-01,q1
4 a 8 años,0,2359.3300078362945,1642.5264805641898,BOGOTÁ D.C.,2013-02-01,q1
51 a 70 años,0,3156.3944846702466,1453.781852250057,BOGOTÁ D.C.,2013-02-01,q1
9 a 13 años,0,3126.295992489088,1558.0008033177319,BOGOTÁ D.C.,2013-02-01,q1
>70 años,0,2944.9160541973397,1453.7818522500568,BOGOTÁ D.C.,2013-02-01,q1
1 a 3 años,1,1519.6933412686458,1491.2031588963057,BOGOTÁ D.C.,2013-02-01,q2
14 a 18 años,1,3509.0479650530306,1660.7415133845898,BOGOTÁ D.C.,2013-02-01,q2
19 a 30 años,1,3464.043287092486,1704.8892559868789,BOGOTÁ D.C.,2013-02-01,q2
31 a 50 años,1,3498.514835184403,1825.4837583395283,BOGOTÁ D.C.,2013-02-01,q2
4 a 8 años,1,2516.7161908036614,1911.5676732046518,BOGOTÁ D.C.,2013-02-01,q2
51 a 70 años,1,3282.0150458989056,1884.9305543085195,BOGOTÁ D.C.,2013-02-01,q2
9 a 13 años,1,3313.514072192989,1829.450719224078,BOGOTÁ D.C.,2013-02-01,q2
>70 años,1,3140.1523744163824,1918.144712604572,BOGOTÁ D.C.,2013-02-01,q2
gestantes 19 a 30 años,1,4069.2721226703025,1623.2747669422502,BOGOTÁ D.C.,2013-02-01,q2
gestantes 31 a 50 años,1,4442.908618405996,1857.8021513365914,BOGOTÁ D.C.,2013-02-01,q2
gestantes < 18 años,1,5906.699271142473,2343.5588480462143,BOGOTÁ D.C.,2013-02-01,q2
lactantes 19 a 30 años,1,3647.7002499345112,1437.897616368985,BOGOTÁ D.C.,2013-02-01,q2
lactantes 31 a 50 años,1,3664.6600085112514,1513.392755894541,BOGOTÁ D.C.,2013-02-01,q2
lactantes < 18 años,1,3750.455234305953,1470.5376730023572,BOGOTÁ D.C.,2013-02-01,q2
1 a 3 años,0,1929.367361918768,1737.2081302185022,BOGOTÁ D.C.,2013-02-01,q2
14 a 18 años,0,3449.969985652939,1256.026669522931,BOGOTÁ D.C.,2013-02-01,q2
