Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
1 a 3 años,1,1585.7219068649397,1555.9938656272927,BOGOTÁ D.C.,2013-01-01,q3
14 a 18 años,1,3666.9110701167997,1735.45403217148,BOGOTÁ D.C.,2013-01-01,q3
19 a 30 años,1,3679.49952989758,1810.9297996673072,BOGOTÁ D.C.,2013-01-01,q3
31 a 50 años,1,3705.3685299413346,1933.4175753798945,BOGOTÁ D.C.,2013-01-01,q3
4 a 8 años,1,2614.445651154047,1985.7979252328485,BOGOTÁ D.C.,2013-01-01,q3
51 a 70 años,1,3427.343170256333,1968.3955653377711,BOGOTÁ D.C.,2013-01-01,q3
9 a 13 años,1,3444.9213758756296,1902.0030552025341,BOGOTÁ D.C.,2013-01-01,q3
>70 años,1,3273.1543715882754,1999.3882470654548,BOGOTÁ D.C.,2013-01-01,q3
gestantes 19 a 30 años,1,4319.346014066639,1723.0318305003907,BOGOTÁ D.C.,2013-01-01,q3
gestantes 31 a 50 años,1,4713.4530117914765,1970.930284105878,BOGOTÁ D.C.,2013-01-01,q3
gestantes < 18 años,1,6305.935579877349,2501.9609844766283,BOGOTÁ D.C.,2013-01-01,q3
lactantes 19 a 30 años,1,3944.9944585327953,1555.0888888461936,BOGOTÁ D.C.,2013-01-01,q3
lactantes 31 a 50 años,1,3959.577981425281,1635.1848792446342,BOGOTÁ D.C.,2013-01-01,q3
lactantes < 18 años,1,3987.0876032810097,1563.3202264502638,BOGOTÁ D.C.,2013-01-01,q3
1 a 3 años,0,2026.5575107311379,1824.7184302409366,BOGOTÁ D.C.,2013-01-01,q3
14 a 18 años,0,3649.307476173965,1328.599244175158,BOGOTÁ D.C.,2013-01-01,q3
19 a 30 años,0,3656.525990674733,1296.8560942224744,BOGOTÁ D.C.,2013-01-01,q3
31 a 50 años,0,3678.6161411159474,1377.2979715033985,BOGOTÁ D.C.,2013-01-01,q3
4 a 8 años,0,2579.0958696038265,1795.523834168625,BOGOTÁ D.C.,2013-01-01,q3
51 a 70 años,0,3535.9411381281902,1628.5946139504806,BOGOTÁ D.C.,2013-01-01,q3
9 a 13 años,0,3443.5909156768903,1716.1258645417734,BOGOTÁ D.C.,2013-01-01,q3
>70 años,0,3299.0330818736015,1628.5946139504806,BOGOTÁ D.C.,2013-01-01,q3
1 a 3 años,1,1573.5807247097468,1544.080298139159,BOGOTÁ D.C.,2013-02-01,q3
14 a 18 años,1,3660.704556433187,1732.5166500010182,BOGOTÁ D.C.,2013-02-01,q3
19 a 30 años,1,3685.117349486906,1813.6947074548275,BOGOTÁ D.C.,2013-02-01,q3
31 a 50 años,1,3716.9717193847573,1939.4719827134468,BOGOTÁ D.C.,2013-02-01,q3
4 a 8 años,1,2610.534531112658,1982.8272403921007,BOGOTÁ D.C.,2013-02-01,q3
51 a 70 años,1,3424.8539584058835,1966.9659584021329,BOGOTÁ D.C.,2013-02-01,q3
9 a 13 años,1,3440.379966190379,1899.49566122949,BOGOTÁ D.C.,2013-02-01,q3
>70 años,1,3266.7767660698087,1995.492522003381,BOGOTÁ D.C.,2013-02-01,q3
gestantes 19 a 30 años,1,4313.5000379681715,1720.6998101283343,BOGOTÁ D.C.,2013-02-01,q3
gestantes 31 a 50 años,1,4709.311383745468,1969.198462419889,BOGOTÁ D.C.,2013-02-01,q3
gestantes < 18 años,1,6305.159411922965,2501.653029865189,BOGOTÁ D.C.,2013-02-01,q3
lactantes 19 a 30 años,1,3940.5062322866197,1553.3196618323639,BOGOTÁ D.C.,2013-02-01,q3
lactantes 31 a 50 años,1,3956.3389408133426,1633.8472543118837,BOGOTÁ D.C.,2013-02-01,q3
lactantes < 18 años,1,3971.9700492888396,1557.3926973158477,BOGOTÁ D.C.,2013-02-01,q3
1 a 3 años,0,2024.4082673978746,1822.7832451301003,BOGOTÁ D.C.,2013-02-01,q3
14 a 18 años,0,3641.221204223127,1325.6552842944134,BOGOTÁ D.C.,2013-02-01,q3
19 a 30 años,0,3647.3638546996626,1293.6065694260976,BOGOTÁ D.C.,2013-02-01,q3
31 a 50 años,0,3675.7956365422915,1376.2419561218728,BOGOTÁ D.C.,2013-02-01,q3
4 a 8 años,0,2573.9520333878545,1791.9427805780333,BOGOTÁ D.C.,2013-02-01,q3
51 a 70 años,0,3534.5394943592637,1627.9490405645338,BOGOTÁ D.C.,2013-02-01,q3
9 a 13 años,0,3436.2732451892284,1712.4790772493525,BOGOTÁ D.C.,2013-02-01,q3
>70 años,0,3297.7253482371925,1627.9490405645336,BOGOTÁ D.C.,2013-02-01,q3
1 a 3 años,1,1569.1708596347005,1539.7531062300939,BOGOTÁ D.C.,2013-03-01,q3
14 a 18 años,1,3666.250001510181,1735.1411655220188,BOGOTÁ D.C.,2013-03-01,q3
19 a 30 años,1,3691.260453499057,1816.7181431219178,BOGOTÁ D.C.,2013-03-01,q3
31 a 50 años,1,3725.307543206935,1943.821517220019,BOGOTÁ D.C.,2013-03-01,q3
4 a 8 años,1,2611.4425390536226,1983.5169163400742,BOGOTÁ D.C.,2013-03-01,q3
51 a 70 años,1,3428.6003994478538,1969.117618613716,BOGOTÁ D.C.,2013-03-01,q3
9 a 13 años,1,3440.4822221573177,1899.5521185873938,BOGOTÁ D.C.,2013-03-01,q3
>70 años,1,3269.0003367743147,1996.8507778711696,BOGOTÁ D.C.,2013-03-01,q3
