codigo_tcac,alimento_sipsa,parte_comestible_percent,energia_kcal,proteina_g,lipidos_g,carbohidratos_totales_g,vitamina_c_mg,folatos_mcg,vitamina_a_er,tiamina_mg,riboflavina_mg,niacina_mg,vitamina_b12_mcg,magnesio_mg,fosforo_mg,sodio_mg,calcio_mg,hierro_mg,zinc_mg
D009,Aceite de palma,100,900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D004,Aceite girasol,100,900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D012,Aceite soya,100,900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D013,Aceite vegetal mezcla,100,900,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DB004,Acelga,92.5,28.5,1.6,0.15,4.15,16.5,93.5,338,0.05,0.09,0.25,0,45.5,33,181,40,1.3,0.35
C002,Aguacate común,77,179,1.6,13.3,10,8,81,3,0.05,0.12,1.4,0,27,40,6,10,0.4,0.5
C001,Aguacate Hass,64,221,1.3,16.4,13.5,5,89,7,0.08,0.14,1.6,0,9,12,0,8,0.5,0.7
C002,Aguacate papelillo,77,179,1.6,13.3,10,8,81,3,0.05,0.12,1.4,0,27,40,6,10,0.4,0.5
B006,Ahuyama,85,30,0.8,0.2,5.8,9,16,1775,0.05,0.05,0.6,0,12,34,1,20,0.8,0.2
B006,Ahuyamín (Sakata),85,30,0.8,0.2,5.8,9,16,1775,0.05,0.05,0.6,0,12,34,1,20,0.8,0.2
B007,Ají topito dulce,90,42,1,1.6,5.1,100,18,460,0.07,0.09,1.6,0,12,29,2,13,1,0.2
B009,Ajo,95,144,4.7,0.3,29.3,9,4,0,0.12,0.07,0.7,0,23,135,19,40,1.3,1
F069,Alas de pollo con costillar,71,214,17.5,16,0.1,0,5,44,0.05,0.09,5.9,0.31,19,132,73,12,0.9,1.3
F069,Alas de pollo sin costillar,71,214,17.5,16,0.1,0,5,44,0.05,0.09,5.9,0.31,19,132,73,12,0.9,1.3
E001,Almejas,11,66,14,1,0.3,2,16,90,0.08,0.14,1.3,11.28,19,170,46,43,1.7,1.3
B014,Apio,50,26,0.7,0.2,4.6,5,36,22,0.04,0.04,0.3,0,14,33,80,42,0.4,0.2
B015,Arracacha amarilla,80,111,0.9,0.1,26.3,20,15.6,57,0.06,0.06,3.8,0,12,52,1,21,0.9,0
B016,Arracacha blanca,85,109,0.8,0.1,25.2,15,15.6,1,0.05,0.06,3.9,0,12,40,1,23,1.1,0
